""	"task"	"year"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_homegrown"	"num_dataset_imports"	"num_papers_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"pwc_size"	"CV"	"NLP"	"Methodology"
"437"	"Metric Learning"	"2017.0"	"1.0"	"22.0"	"557.0"	"0.0"	"4.0"	"27.0"	"2008.0"	"5.5"	"inf"	"0.8461538461538461"	"1.0"	"23430"	"1"	"0"	"1"
"438"	"Metric Learning"	"2019.0"	"1.0"	"4.0"	"558.0"	"20.0"	"23.0"	"28.0"	"2008.0"	"0.17391304347826086"	"0.05"	"0.14814814814814814"	"0.047619047619047616"	"49025"	"1"	"0"	"1"
"439"	"Monocular 3D Human Pose Estimation"	"2017.0"	"1.0"	"5.0"	"559.0"	"0.0"	"0.0"	"6.0"	"2013.0"	"inf"	"inf"	"1.0"	"1.0"	"23430"	"1"	"0"	"0"
"440"	"Monocular Depth Estimation"	"2016.0"	"1.0"	"12.0"	"560.0"	"0.0"	"0.0"	"13.0"	"2014.0"	"inf"	"inf"	"1.0"	"1.0"	"17276"	"1"	"0"	"0"
"441"	"Monocular Depth Estimation"	"2019.0"	"1.0"	"178.0"	"561.0"	"11.0"	"0.0"	"179.0"	"2014.0"	"inf"	"0.09090909090909091"	"1.0"	"0.08333333333333333"	"49025"	"1"	"0"	"0"
"442"	"Monocular Visual Odometry"	"2016.0"	"1.0"	"0.0"	"562.0"	"0.0"	"0.0"	"1.0"	"2014.0"	""	"inf"	""	"1.0"	"17276"	"0"	"0"	"0"
"443"	"Motion Capture"	"2016.0"	"1.0"	"0.0"	"563.0"	"0.0"	"1.0"	"2.0"	"2008.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"1"	"0"	"0"
"444"	"Motion Capture"	"2017.0"	"2.0"	"0.0"	"564.0"	"0.0"	"1.0"	"3.0"	"2008.0"	"0.0"	"inf"	"0.0"	"1.0"	"23430"	"1"	"0"	"0"
"445"	"Motion Estimation"	"2019.0"	"1.0"	"0.0"	"566.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"49025"	"1"	"0"	"0"
"446"	"Motion Forecasting"	"2019.0"	"1.0"	"2.0"	"567.0"	"0.0"	"0.0"	"3.0"	"2017.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"0"
"447"	"Multi Future Trajectory Prediction"	"2020.0"	"1.0"	"0.0"	"568.0"	"0.0"	"1.0"	"2.0"	"2017.0"	"0.0"	"inf"	"0.0"	"1.0"	"63637"	"0"	"0"	"0"
"448"	"Multi-Document Summarization"	"2018.0"	"3.0"	"0.0"	"569.0"	"0.0"	"1.0"	"4.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"36754"	"0"	"1"	"0"
"449"	"Multi-Document Summarization"	"2019.0"	"1.0"	"2.0"	"572.0"	"0.0"	"2.0"	"5.0"	"2012.0"	"1.0"	"inf"	"0.5"	"1.0"	"49025"	"0"	"1"	"0"
"450"	"Multi-Document Summarization"	"2020.0"	"1.0"	"0.0"	"573.0"	"3.0"	"14.0"	"15.0"	"2012.0"	"0.0"	"0.3333333333333333"	"0.0"	"0.25"	"63637"	"0"	"1"	"0"
"451"	"Multi-Document Summarization"	"2021.0"	"1.0"	"0.0"	"574.0"	"0.0"	"10.0"	"11.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"37713"	"0"	"1"	"0"
"452"	"Multi-Hop Reading Comprehension"	"2017.0"	"1.0"	"0.0"	"575.0"	"0.0"	"0.0"	"1.0"	"2017.0"	""	"inf"	""	"1.0"	"23430"	"0"	"1"	"0"
"453"	"Multi-Human Parsing"	"2017.0"	"1.0"	"1.0"	"576.0"	"0.0"	"0.0"	"2.0"	"2015.0"	"inf"	"inf"	"1.0"	"1.0"	"23430"	"1"	"0"	"0"
"454"	"Multi-Label Classification"	"2019.0"	"1.0"	"32.0"	"577.0"	"0.0"	"0.0"	"33.0"	"2010.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"0"	"0"	"1"
"455"	"Multi-Label Image Classification"	"2017.0"	"1.0"	"0.0"	"578.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"23430"	"1"	"0"	"1"
"456"	"Multi-Label Text Classification"	"2019.0"	"1.0"	"5.0"	"579.0"	"0.0"	"0.0"	"6.0"	"2013.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"0"	"1"	"1"
"457"	"Multi-Object Tracking"	"2016.0"	"2.0"	"16.0"	"580.0"	"0.0"	"0.0"	"18.0"	"2011.0"	"inf"	"inf"	"1.0"	"1.0"	"17276"	"1"	"0"	"0"
"458"	"Multi-Object Tracking"	"2020.0"	"1.0"	"94.0"	"582.0"	"12.0"	"1.0"	"96.0"	"2011.0"	"94.0"	"0.08333333333333333"	"0.9894736842105263"	"0.07692307692307693"	"63637"	"1"	"0"	"0"
"459"	"Multi-Person Pose Estimation"	"2018.0"	"1.0"	"20.0"	"583.0"	"0.0"	"0.0"	"21.0"	"2015.0"	"inf"	"inf"	"1.0"	"1.0"	"36754"	"1"	"0"	"0"
"460"	"Multi-Person Pose Estimation"	"2019.0"	"1.0"	"34.0"	"584.0"	"0.0"	"0.0"	"35.0"	"2015.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"0"
"461"	"Multi-Task Learning"	"2015.0"	"1.0"	"0.0"	"585.0"	"0.0"	"0.0"	"1.0"	"2007.0"	""	"inf"	""	"1.0"	"12115"	"0"	"0"	"1"
"462"	"Multi-Task Learning"	"2020.0"	"1.0"	"55.0"	"586.0"	"32.0"	"3.0"	"59.0"	"2007.0"	"18.333333333333332"	"0.03125"	"0.9482758620689655"	"0.030303030303030304"	"63637"	"0"	"0"	"1"
"463"	"Multi-tissue Nucleus Segmentation"	"2018.0"	"1.0"	"0.0"	"587.0"	"0.0"	"0.0"	"1.0"	"2014.0"	""	"inf"	""	"1.0"	"36754"	"0"	"0"	"0"
"464"	"Multimodal Emotion Recognition"	"2008.0"	"1.0"	"0.0"	"588.0"	"0.0"	"0.0"	"1.0"	"2008.0"	""	"inf"	""	"1.0"	"202"	"1"	"1"	"0"
"465"	"Multimodal Machine Translation"	"2016.0"	"1.0"	"0.0"	"589.0"	"0.0"	"0.0"	"1.0"	"2016.0"	""	"inf"	""	"1.0"	"17276"	"1"	"1"	"0"
"466"	"Multimodal Machine Translation"	"2018.0"	"2.0"	"0.0"	"590.0"	"0.0"	"0.0"	"2.0"	"2016.0"	""	"inf"	""	"1.0"	"36754"	"1"	"1"	"0"
"467"	"Multimodal Sentiment Analysis"	"2018.0"	"1.0"	"0.0"	"592.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"36754"	"0"	"1"	"0"
"468"	"Multimodal Sentiment Analysis"	"2020.0"	"1.0"	"0.0"	"593.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"63637"	"0"	"1"	"0"
"469"	"Multimodal Sentiment Analysis"	"2021.0"	"1.0"	"0.0"	"594.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"37713"	"0"	"1"	"0"
"470"	"Multimodal Unsupervised Image-To-Image Translation"	"2019.0"	"1.0"	"4.0"	"595.0"	"0.0"	"0.0"	"5.0"	"2017.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"0"
"471"	"Multiple Instance Learning"	"2017.0"	"1.0"	"0.0"	"596.0"	"0.0"	"0.0"	"1.0"	"2007.0"	""	"inf"	""	"1.0"	"23430"	"0"	"0"	"1"
"472"	"Multiple Instance Learning"	"2018.0"	"1.0"	"0.0"	"597.0"	"0.0"	"0.0"	"1.0"	"2007.0"	""	"inf"	""	"1.0"	"36754"	"0"	"0"	"1"
"473"	"Multiple Object Tracking"	"2015.0"	"1.0"	"12.0"	"598.0"	"0.0"	"0.0"	"13.0"	"2009.0"	"inf"	"inf"	"1.0"	"1.0"	"12115"	"1"	"0"	"0"
"474"	"Multiple Object Tracking"	"2016.0"	"2.0"	"12.0"	"599.0"	"3.0"	"0.0"	"14.0"	"2009.0"	"inf"	"0.6666666666666666"	"1.0"	"0.4"	"17276"	"1"	"0"	"0"
"475"	"Music Generation"	"2012.0"	"2.0"	"0.0"	"601.0"	"0.0"	"0.0"	"2.0"	"2012.0"	""	"inf"	""	"1.0"	"4735"	"0"	"0"	"0"
"476"	"Music Generation"	"2017.0"	"1.0"	"0.0"	"603.0"	"0.0"	"3.0"	"4.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"23430"	"0"	"0"	"0"
"477"	"Music Generation"	"2018.0"	"1.0"	"0.0"	"604.0"	"0.0"	"3.0"	"4.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"36754"	"0"	"0"	"0"
"478"	"Music Source Separation"	"2019.0"	"1.0"	"0.0"	"605.0"	"0.0"	"0.0"	"1.0"	"2014.0"	""	"inf"	""	"1.0"	"49025"	"0"	"0"	"0"
"479"	"Music Transcription"	"2016.0"	"1.0"	"0.0"	"606.0"	"0.0"	"0.0"	"1.0"	"2014.0"	""	"inf"	""	"1.0"	"17276"	"0"	"0"	"0"
"480"	"Named Entity Recognition"	"2003.0"	"1.0"	"0.0"	"607.0"	"0.0"	"0.0"	"1.0"	"2003.0"	""	"inf"	""	"1.0"	"11"	"0"	"1"	"0"
"481"	"Named Entity Recognition"	"2015.0"	"2.0"	"0.0"	"608.0"	"0.0"	"8.0"	"10.0"	"2003.0"	"0.0"	"inf"	"0.0"	"1.0"	"12115"	"0"	"1"	"0"
"482"	"Named Entity Recognition"	"2016.0"	"1.0"	"0.0"	"610.0"	"0.0"	"19.0"	"20.0"	"2003.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"0"	"1"	"0"
"483"	"Named Entity Recognition"	"2017.0"	"1.0"	"0.0"	"611.0"	"0.0"	"23.0"	"24.0"	"2003.0"	"0.0"	"inf"	"0.0"	"1.0"	"23430"	"0"	"1"	"0"
"484"	"Named Entity Recognition"	"2018.0"	"1.0"	"1.0"	"612.0"	"0.0"	"46.0"	"48.0"	"2003.0"	"0.021739130434782608"	"inf"	"0.02127659574468085"	"1.0"	"36754"	"0"	"1"	"0"
"485"	"Named Entity Recognition"	"2019.0"	"1.0"	"0.0"	"613.0"	"0.0"	"78.0"	"79.0"	"2003.0"	"0.0"	"inf"	"0.0"	"1.0"	"49025"	"0"	"1"	"0"
"486"	"Named Entity Recognition"	"2020.0"	"2.0"	"8.0"	"614.0"	"6.0"	"71.0"	"81.0"	"2003.0"	"0.11267605633802817"	"0.3333333333333333"	"0.10126582278481013"	"0.25"	"63637"	"0"	"1"	"0"
"487"	"Native Language Identification"	"2018.0"	"1.0"	"0.0"	"616.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"36754"	"0"	"1"	"0"
"488"	"Natural Language Inference"	"2014.0"	"1.0"	"0.0"	"617.0"	"0.0"	"4.0"	"5.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"9766"	"0"	"1"	"0"
"489"	"Natural Language Inference"	"2015.0"	"1.0"	"0.0"	"618.0"	"0.0"	"10.0"	"11.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"12115"	"0"	"1"	"0"
"490"	"Natural Language Inference"	"2018.0"	"2.0"	"13.0"	"619.0"	"0.0"	"152.0"	"167.0"	"2009.0"	"0.08552631578947369"	"inf"	"0.07878787878787878"	"1.0"	"36754"	"0"	"1"	"0"
"491"	"Natural Language Inference"	"2019.0"	"2.0"	"31.0"	"621.0"	"0.0"	"187.0"	"220.0"	"2009.0"	"0.1657754010695187"	"inf"	"0.14220183486238533"	"1.0"	"49025"	"0"	"1"	"0"
"492"	"Natural Language Inference"	"2020.0"	"8.0"	"28.0"	"623.0"	"16.0"	"176.0"	"212.0"	"2009.0"	"0.1590909090909091"	"0.5"	"0.13725490196078433"	"0.3333333333333333"	"63637"	"0"	"1"	"0"
"493"	"Natural Language Understanding"	"2018.0"	"1.0"	"2.0"	"631.0"	"0.0"	"3.0"	"6.0"	"2012.0"	"0.6666666666666666"	"inf"	"0.4"	"1.0"	"36754"	"0"	"1"	"0"
"494"	"Natural Language Understanding"	"2019.0"	"3.0"	"5.0"	"632.0"	"0.0"	"26.0"	"34.0"	"2012.0"	"0.19230769230769232"	"inf"	"0.16129032258064516"	"1.0"	"49025"	"0"	"1"	"0"
"495"	"Natural Language Understanding"	"2020.0"	"2.0"	"15.0"	"635.0"	"5.0"	"56.0"	"73.0"	"2012.0"	"0.26785714285714285"	"0.4"	"0.2112676056338028"	"0.2857142857142857"	"63637"	"0"	"1"	"0"
"496"	"Nested Named Entity Recognition"	"2019.0"	"1.0"	"0.0"	"637.0"	"0.0"	"0.0"	"1.0"	"2014.0"	""	"inf"	""	"1.0"	"49025"	"0"	"1"	"0"
"497"	"News Retrieval"	"2021.0"	"1.0"	"0.0"	"638.0"	"0.0"	"0.0"	"1.0"	"2019.0"	""	"inf"	""	"1.0"	"37713"	"0"	"0"	"0"
"498"	"Node Classification"	"1998.0"	"1.0"	"0.0"	"639.0"	"0.0"	"0.0"	"1.0"	"1998.0"	""	"inf"	""	"1.0"	"5"	"0"	"0"	"0"
"499"	"Node Classification"	"2000.0"	"1.0"	"0.0"	"640.0"	"0.0"	"0.0"	"1.0"	"1998.0"	""	"inf"	""	"1.0"	"2"	"0"	"0"	"0"
"500"	"Node Classification"	"2008.0"	"1.0"	"0.0"	"641.0"	"0.0"	"0.0"	"1.0"	"1998.0"	""	"inf"	""	"1.0"	"202"	"0"	"0"	"0"
"501"	"Node Classification"	"2017.0"	"2.0"	"2.0"	"642.0"	"0.0"	"22.0"	"26.0"	"1998.0"	"0.09090909090909091"	"inf"	"0.08333333333333333"	"1.0"	"23430"	"0"	"0"	"0"
"502"	"Node Classification"	"2020.0"	"3.0"	"2.0"	"644.0"	"2.0"	"176.0"	"181.0"	"1998.0"	"0.011363636363636364"	"1.5"	"0.011235955056179775"	"0.6"	"63637"	"0"	"0"	"0"
"503"	"Node Classification"	"2021.0"	"1.0"	"2.0"	"647.0"	"4.0"	"87.0"	"90.0"	"1998.0"	"0.022988505747126436"	"0.25"	"0.02247191011235955"	"0.2"	"37713"	"0"	"0"	"0"
"504"	"Nuclear Segmentation"	"2018.0"	"1.0"	"0.0"	"648.0"	"0.0"	"0.0"	"1.0"	"2013.0"	""	"inf"	""	"1.0"	"36754"	"1"	"0"	"0"
"505"	"Object Classification"	"2017.0"	"1.0"	"0.0"	"649.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"23430"	"1"	"0"	"0"
"506"	"Object Counting"	"2017.0"	"1.0"	"1.0"	"650.0"	"0.0"	"0.0"	"2.0"	"2010.0"	"inf"	"inf"	"1.0"	"1.0"	"23430"	"1"	"0"	"0"
"507"	"Object Detection"	"2008.0"	"1.0"	"0.0"	"651.0"	"0.0"	"0.0"	"1.0"	"2007.0"	""	"inf"	""	"1.0"	"202"	"1"	"0"	"0"
"508"	"Object Detection"	"2012.0"	"1.0"	"0.0"	"652.0"	"0.0"	"0.0"	"1.0"	"2007.0"	""	"inf"	""	"1.0"	"4735"	"1"	"0"	"0"
"509"	"Object Detection"	"2014.0"	"2.0"	"4.0"	"653.0"	"0.0"	"9.0"	"15.0"	"2007.0"	"0.4444444444444444"	"inf"	"0.3076923076923077"	"1.0"	"9766"	"1"	"0"	"0"
"510"	"Object Detection"	"2016.0"	"1.0"	"69.0"	"655.0"	"0.0"	"28.0"	"98.0"	"2007.0"	"2.4642857142857144"	"inf"	"0.711340206185567"	"1.0"	"17276"	"1"	"0"	"0"
"511"	"Object Detection"	"2018.0"	"6.0"	"301.0"	"656.0"	"0.0"	"97.0"	"404.0"	"2007.0"	"3.1030927835051547"	"inf"	"0.7562814070351759"	"1.0"	"36754"	"1"	"0"	"0"
"512"	"Object Detection"	"2019.0"	"3.0"	"588.0"	"662.0"	"0.0"	"162.0"	"753.0"	"2007.0"	"3.6296296296296298"	"inf"	"0.784"	"1.0"	"49025"	"1"	"0"	"0"
"513"	"Object Detection"	"2020.0"	"2.0"	"799.0"	"665.0"	"0.0"	"233.0"	"1034.0"	"2007.0"	"3.429184549356223"	"inf"	"0.7742248062015504"	"1.0"	"63637"	"1"	"0"	"0"
"514"	"Object Detection In Aerial Images"	"2018.0"	"1.0"	"10.0"	"667.0"	"0.0"	"0.0"	"11.0"	"2017.0"	"inf"	"inf"	"1.0"	"1.0"	"36754"	"1"	"0"	"0"
"515"	"Object Localization"	"2009.0"	"1.0"	"0.0"	"668.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	"254"	"1"	"0"	"0"
"516"	"Object Localization"	"2014.0"	"1.0"	"4.0"	"669.0"	"0.0"	"2.0"	"7.0"	"2009.0"	"2.0"	"inf"	"0.6666666666666666"	"1.0"	"9766"	"1"	"0"	"0"
"517"	"Object Recognition"	"2004.0"	"1.0"	"0.0"	"670.0"	"0.0"	"0.0"	"1.0"	"2004.0"	""	"inf"	""	"1.0"	"12"	"1"	"0"	"0"
"518"	"Object Recognition"	"2008.0"	"1.0"	"0.0"	"671.0"	"0.0"	"2.0"	"3.0"	"2004.0"	"0.0"	"inf"	"0.0"	"1.0"	"202"	"1"	"0"	"0"
"519"	"Object Recognition"	"2009.0"	"2.0"	"0.0"	"672.0"	"0.0"	"0.0"	"2.0"	"2004.0"	""	"inf"	""	"1.0"	"254"	"1"	"0"	"0"
"520"	"Object Recognition"	"2015.0"	"1.0"	"0.0"	"674.0"	"0.0"	"44.0"	"45.0"	"2004.0"	"0.0"	"inf"	"0.0"	"1.0"	"12115"	"1"	"0"	"0"
"521"	"Object Recognition"	"2016.0"	"2.0"	"1.0"	"675.0"	"0.0"	"54.0"	"57.0"	"2004.0"	"0.018518518518518517"	"inf"	"0.01818181818181818"	"1.0"	"17276"	"1"	"0"	"0"
"522"	"Object Recognition"	"2017.0"	"2.0"	"0.0"	"677.0"	"0.0"	"56.0"	"58.0"	"2004.0"	"0.0"	"inf"	"0.0"	"1.0"	"23430"	"1"	"0"	"0"
"523"	"Object Recognition"	"2018.0"	"1.0"	"1.0"	"679.0"	"0.0"	"62.0"	"64.0"	"2004.0"	"0.016129032258064516"	"inf"	"0.015873015873015872"	"1.0"	"36754"	"1"	"0"	"0"
"524"	"Object Tracking"	"2015.0"	"2.0"	"4.0"	"680.0"	"0.0"	"0.0"	"6.0"	"2008.0"	"inf"	"inf"	"1.0"	"1.0"	"12115"	"1"	"0"	"0"
"525"	"Object Tracking"	"2018.0"	"1.0"	"14.0"	"682.0"	"18.0"	"62.0"	"77.0"	"2008.0"	"0.22580645161290322"	"0.05555555555555555"	"0.18421052631578946"	"0.05263157894736842"	"36754"	"1"	"0"	"0"
"526"	"Object Tracking"	"2019.0"	"2.0"	"39.0"	"683.0"	"0.0"	"56.0"	"97.0"	"2008.0"	"0.6964285714285714"	"inf"	"0.4105263157894737"	"1.0"	"49025"	"1"	"0"	"0"
"527"	"Object Tracking"	"2020.0"	"1.0"	"64.0"	"685.0"	"0.0"	"91.0"	"156.0"	"2008.0"	"0.7032967032967034"	"inf"	"0.4129032258064516"	"1.0"	"63637"	"1"	"0"	"0"
"528"	"Offline RL"	"2020.0"	"2.0"	"0.0"	"686.0"	"0.0"	"4.0"	"6.0"	"2017.0"	"0.0"	"inf"	"0.0"	"1.0"	"63637"	"0"	"0"	"0"
"529"	"One-Shot Learning"	"2016.0"	"1.0"	"9.0"	"688.0"	"8.0"	"0.0"	"10.0"	"2013.0"	"inf"	"0.125"	"1.0"	"0.1111111111111111"	"17276"	"1"	"0"	"1"
"530"	"One-Shot Learning"	"2017.0"	"1.0"	"29.0"	"689.0"	"2.0"	"0.0"	"30.0"	"2013.0"	"inf"	"0.5"	"1.0"	"0.3333333333333333"	"23430"	"1"	"0"	"1"
"531"	"One-Shot Segmentation"	"2017.0"	"1.0"	"0.0"	"690.0"	"0.0"	"0.0"	"1.0"	"2017.0"	""	"inf"	""	"1.0"	"23430"	"1"	"0"	"0"
"532"	"Open Knowledge Graph Embedding"	"2020.0"	"1.0"	"0.0"	"691.0"	"0.0"	"0.0"	"1.0"	"2020.0"	""	"inf"	""	"1.0"	"63637"	"0"	"0"	"0"
"533"	"Open-Domain Dialog"	"2020.0"	"1.0"	"0.0"	"692.0"	"0.0"	"0.0"	"1.0"	"2016.0"	""	"inf"	""	"1.0"	"63637"	"0"	"1"	"0"
"534"	"Open-Domain Question Answering"	"2015.0"	"1.0"	"0.0"	"693.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"12115"	"0"	"1"	"0"
"535"	"Open-Domain Question Answering"	"2017.0"	"1.0"	"1.0"	"694.0"	"1.0"	"0.0"	"2.0"	"2012.0"	"inf"	"1.0"	"1.0"	"0.5"	"23430"	"0"	"1"	"0"
"536"	"Open-Domain Question Answering"	"2019.0"	"1.0"	"20.0"	"695.0"	"23.0"	"0.0"	"21.0"	"2012.0"	"inf"	"0.043478260869565216"	"1.0"	"0.041666666666666664"	"49025"	"0"	"1"	"0"
"537"	"Open-Domain Question Answering"	"2020.0"	"3.0"	"21.0"	"696.0"	"0.0"	"0.0"	"24.0"	"2012.0"	"inf"	"inf"	"1.0"	"1.0"	"63637"	"0"	"1"	"0"
"538"	"OpenAI Gym"	"2016.0"	"1.0"	"0.0"	"699.0"	"0.0"	"0.0"	"1.0"	"2015.0"	""	"inf"	""	"1.0"	"17276"	"0"	"0"	"0"
"539"	"Opinion Mining"	"2005.0"	"1.0"	"0.0"	"700.0"	"0.0"	"0.0"	"1.0"	"2005.0"	""	"inf"	""	"1.0"	"12"	"0"	"1"	"0"
"540"	"Optical Character Recognition"	"1994.0"	"1.0"	"0.0"	"701.0"	"0.0"	"0.0"	"1.0"	"1994.0"	""	"inf"	""	"1.0"	"5"	"1"	"1"	"1"
"541"	"Optical Character Recognition"	"2016.0"	"1.0"	"2.0"	"702.0"	"0.0"	"17.0"	"20.0"	"1994.0"	"0.11764705882352941"	"inf"	"0.10526315789473684"	"1.0"	"17276"	"1"	"1"	"1"
"542"	"Optical Character Recognition"	"2018.0"	"1.0"	"0.0"	"703.0"	"0.0"	"68.0"	"69.0"	"1994.0"	"0.0"	"inf"	"0.0"	"1.0"	"36754"	"1"	"1"	"1"
"543"	"Optical Character Recognition"	"2019.0"	"1.0"	"0.0"	"704.0"	"4.0"	"101.0"	"102.0"	"1994.0"	"0.0"	"0.25"	"0.0"	"0.2"	"49025"	"1"	"1"	"1"
"544"	"Optical Character Recognition"	"2021.0"	"1.0"	"4.0"	"705.0"	"0.0"	"62.0"	"67.0"	"1994.0"	"0.06451612903225806"	"inf"	"0.06060606060606061"	"1.0"	"37713"	"1"	"1"	"1"
"545"	"Optical Flow Estimation"	"2012.0"	"2.0"	"0.0"	"706.0"	"0.0"	"0.0"	"2.0"	"2009.0"	""	"inf"	""	"1.0"	"4735"	"1"	"0"	"0"
"546"	"Optical Flow Estimation"	"2013.0"	"1.0"	"0.0"	"708.0"	"0.0"	"1.0"	"2.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"6822"	"1"	"0"	"0"
"547"	"Optical Flow Estimation"	"2015.0"	"1.0"	"0.0"	"709.0"	"0.0"	"11.0"	"12.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"12115"	"1"	"0"	"0"
"548"	"Optical Flow Estimation"	"2016.0"	"1.0"	"0.0"	"710.0"	"0.0"	"25.0"	"26.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"1"	"0"	"0"
"549"	"Panoptic Segmentation"	"2020.0"	"1.0"	"49.0"	"711.0"	"0.0"	"2.0"	"52.0"	"2014.0"	"24.5"	"inf"	"0.9607843137254902"	"1.0"	"63637"	"1"	"0"	"0"
"550"	"Panoptic Segmentation"	"2021.0"	"2.0"	"24.0"	"712.0"	"0.0"	"0.0"	"26.0"	"2014.0"	"inf"	"inf"	"1.0"	"1.0"	"37713"	"1"	"0"	"0"
"551"	"Paraphrase Generation"	"2005.0"	"1.0"	"0.0"	"714.0"	"0.0"	"0.0"	"1.0"	"2005.0"	""	"inf"	""	"1.0"	"12"	"0"	"1"	"0"
"552"	"Paraphrase Identification"	"2005.0"	"1.0"	"0.0"	"715.0"	"0.0"	"0.0"	"1.0"	"2005.0"	""	"inf"	""	"1.0"	"12"	"0"	"1"	"0"
"553"	"Paraphrase Identification"	"2019.0"	"2.0"	"18.0"	"716.0"	"8.0"	"9.0"	"29.0"	"2005.0"	"2.0"	"0.25"	"0.6666666666666666"	"0.2"	"49025"	"0"	"1"	"0"
"554"	"Part-Of-Speech Tagging"	"1993.0"	"1.0"	"0.0"	"718.0"	"0.0"	"0.0"	"1.0"	"1993.0"	""	"inf"	""	"1.0"	"1"	"0"	"1"	"0"
"555"	"Part-Of-Speech Tagging"	"2018.0"	"1.0"	"0.0"	"719.0"	"0.0"	"18.0"	"19.0"	"1993.0"	"0.0"	"inf"	"0.0"	"1.0"	"36754"	"0"	"1"	"0"
"556"	"Passage Retrieval"	"2021.0"	"1.0"	"23.0"	"720.0"	"0.0"	"0.0"	"24.0"	"2013.0"	"inf"	"inf"	"1.0"	"1.0"	"37713"	"0"	"0"	"0"
"557"	"Pedestrian Attribute Recognition"	"2016.0"	"1.0"	"0.0"	"721.0"	"0.0"	"2.0"	"3.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"1"	"0"	"0"
"558"	"Pedestrian Attribute Recognition"	"2017.0"	"1.0"	"3.0"	"722.0"	"0.0"	"2.0"	"6.0"	"2015.0"	"1.5"	"inf"	"0.6"	"1.0"	"23430"	"1"	"0"	"0"
"559"	"Pedestrian Attribute Recognition"	"2021.0"	"1.0"	"0.0"	"723.0"	"0.0"	"6.0"	"7.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"37713"	"1"	"0"	"0"
"560"	"Pedestrian Detection"	"2016.0"	"1.0"	"0.0"	"724.0"	"0.0"	"1.0"	"2.0"	"2010.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"1"	"0"	"0"
"561"	"Pedestrian Detection"	"2017.0"	"1.0"	"0.0"	"725.0"	"0.0"	"1.0"	"2.0"	"2010.0"	"0.0"	"inf"	"0.0"	"1.0"	"23430"	"1"	"0"	"0"
"562"	"Person Identification"	"2018.0"	"1.0"	"0.0"	"726.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"36754"	"1"	"0"	"0"
"564"	"Person Re-Identification"	"2014.0"	"2.0"	"31.0"	"728.0"	"0.0"	"2.0"	"35.0"	"2013.0"	"15.5"	"inf"	"0.9393939393939394"	"1.0"	"9766"	"1"	"0"	"0"
"565"	"Person Re-Identification"	"2015.0"	"2.0"	"52.0"	"730.0"	"0.0"	"14.0"	"68.0"	"2013.0"	"3.7142857142857144"	"inf"	"0.7878787878787878"	"1.0"	"12115"	"1"	"0"	"0"
"566"	"Person Re-Identification"	"2016.0"	"2.0"	"75.0"	"732.0"	"0.0"	"50.0"	"127.0"	"2013.0"	"1.5"	"inf"	"0.6"	"1.0"	"17276"	"1"	"0"	"0"
"567"	"Person Re-Identification"	"2017.0"	"5.0"	"95.0"	"734.0"	"0.0"	"123.0"	"223.0"	"2013.0"	"0.7723577235772358"	"inf"	"0.43577981651376146"	"1.0"	"23430"	"1"	"0"	"0"
