""	"task"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_imports"	"num_papers_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"CV"	"NLP"	"Methodology"
"146"	"Program Repair"	"1.0"	"0.0"	"0.0"	"10.0"	"11.0"	"2017.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"147"	"Program Synthesis"	"2.0"	"0.0"	"0.0"	"3.0"	"5.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"148"	"Quantization"	"2.0"	"884.0"	"2.0"	"0.0"	"886.0"	"2006.0"	"inf"	"1.0"	"1.0"	"0.5"	"1"	"0"	"1"
"149"	"Question Answering"	"121.0"	"648.0"	"36.0"	"1792.0"	"2561.0"	"2009.0"	"0.36160714285714285"	"3.361111111111111"	"0.26557377049180325"	"0.7707006369426752"	"0"	"1"	"0"
"150"	"RGB Salient Object Detection"	"5.0"	"299.0"	"8.0"	"0.0"	"304.0"	"2013.0"	"inf"	"0.625"	"1.0"	"0.38461538461538464"	"1"	"0"	"0"
"151"	"Rain Removal"	"2.0"	"0.0"	"0.0"	"17.0"	"19.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"152"	"Reading Comprehension"	"53.0"	"116.0"	"12.0"	"929.0"	"1098.0"	"2012.0"	"0.12486544671689989"	"4.416666666666667"	"0.11100478468899522"	"0.8153846153846154"	"0"	"1"	"0"
"153"	"Real-Time Strategy Games"	"2.0"	"2.0"	"1.0"	"0.0"	"4.0"	"2012.0"	"inf"	"2.0"	"1.0"	"0.6666666666666666"	"0"	"0"	"0"
"154"	"Recommendation Systems"	"5.0"	"0.0"	"0.0"	"263.0"	"268.0"	"2007.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"155"	"Relation Classification"	"3.0"	"5.0"	"2.0"	"0.0"	"8.0"	"2012.0"	"inf"	"1.5"	"1.0"	"0.6"	"0"	"1"	"0"
"156"	"Relation Extraction"	"12.0"	"20.0"	"2.0"	"114.0"	"146.0"	"2012.0"	"0.17543859649122806"	"6.0"	"0.14925373134328357"	"0.8571428571428571"	"0"	"1"	"0"
"157"	"Robot Navigation"	"2.0"	"2.0"	"1.0"	"2.0"	"6.0"	"2012.0"	"1.0"	"2.0"	"0.5"	"0.6666666666666666"	"1"	"0"	"0"
"158"	"Saliency Detection"	"7.0"	"0.0"	"0.0"	"137.0"	"144.0"	"2010.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"159"	"Saliency Prediction"	"3.0"	"1.0"	"1.0"	"50.0"	"54.0"	"2013.0"	"0.02"	"3.0"	"0.0196078431372549"	"0.75"	"1"	"0"	"0"
"160"	"Scene Parsing"	"1.0"	"0.0"	"0.0"	"85.0"	"86.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"161"	"Scene Text"	"3.0"	"12.0"	"2.0"	"5.0"	"20.0"	"2013.0"	"2.4"	"1.5"	"0.7058823529411765"	"0.6"	"1"	"0"	"0"
"162"	"Scene Text Detection"	"4.0"	"0.0"	"0.0"	"25.0"	"29.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"163"	"Scene Understanding"	"19.0"	"2.0"	"2.0"	"171.0"	"192.0"	"2008.0"	"0.011695906432748537"	"9.5"	"0.011560693641618497"	"0.9047619047619048"	"1"	"0"	"0"
"164"	"Self-Supervised Learning"	"1.0"	"30.0"	"4.0"	"1.0"	"32.0"	"2011.0"	"30.0"	"0.25"	"0.967741935483871"	"0.2"	"1"	"0"	"0"
"165"	"Semantic Parsing"	"12.0"	"32.0"	"4.0"	"81.0"	"125.0"	"1998.0"	"0.3950617283950617"	"3.0"	"0.2831858407079646"	"0.75"	"0"	"1"	"0"
"166"	"Semantic Role Labeling"	"2.0"	"53.0"	"1.0"	"8.0"	"63.0"	"2011.0"	"6.625"	"2.0"	"0.8688524590163934"	"0.6666666666666666"	"0"	"1"	"0"
"167"	"Semantic Segmentation"	"69.0"	"2142.0"	"16.0"	"1355.0"	"3566.0"	"2001.0"	"1.580811808118081"	"4.3125"	"0.6125250214469545"	"0.8117647058823529"	"1"	"0"	"0"
"168"	"Semantic Textual Similarity"	"6.0"	"85.0"	"2.0"	"37.0"	"128.0"	"1995.0"	"2.2972972972972974"	"3.0"	"0.6967213114754098"	"0.75"	"0"	"1"	"0"
"169"	"Semi-Supervised Video Object Segmentation"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2014.0"	""	"inf"	""	"1.0"	"1"	"0"	"0"
"170"	"Sentence Compression"	"1.0"	"1.0"	"1.0"	"27.0"	"29.0"	"2012.0"	"0.037037037037037035"	"1.0"	"0.03571428571428571"	"0.5"	"0"	"1"	"0"
"171"	"Sentence Embeddings"	"3.0"	"11.0"	"5.0"	"1.0"	"15.0"	"2012.0"	"11.0"	"0.6"	"0.9166666666666666"	"0.375"	"0"	"1"	"1"
"172"	"Sentence Pair Modeling"	"1.0"	"0.0"	"0.0"	"10.0"	"11.0"	"2016.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"173"	"Sentence Summarization"	"1.0"	"1.0"	"1.0"	"0.0"	"2.0"	"2015.0"	"inf"	"1.0"	"1.0"	"0.5"	"0"	"1"	"0"
"174"	"Sentiment Analysis"	"22.0"	"79.0"	"1.0"	"539.0"	"640.0"	"2002.0"	"0.14656771799628943"	"22.0"	"0.127831715210356"	"0.9565217391304348"	"0"	"1"	"0"
"175"	"Shadow Detection"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"176"	"Sketch-Based Image Retrieval"	"2.0"	"2.0"	"1.0"	"0.0"	"4.0"	"2015.0"	"inf"	"2.0"	"1.0"	"0.6666666666666666"	"1"	"0"	"0"
"177"	"Slot Filling"	"4.0"	"2.0"	"1.0"	"5.0"	"11.0"	"2012.0"	"0.4"	"4.0"	"0.2857142857142857"	"0.8"	"0"	"1"	"0"
"178"	"Speaker Verification"	"1.0"	"0.0"	"0.0"	"41.0"	"42.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"179"	"Speech Enhancement"	"3.0"	"26.0"	"1.0"	"19.0"	"48.0"	"2012.0"	"1.368421052631579"	"3.0"	"0.5777777777777777"	"0.75"	"0"	"0"	"0"
"180"	"Speech Recognition"	"22.0"	"78.0"	"3.0"	"571.0"	"671.0"	"2003.0"	"0.13660245183887915"	"7.333333333333333"	"0.12018489984591679"	"0.88"	"0"	"0"	"0"
"181"	"Speech Separation"	"1.0"	"0.0"	"0.0"	"8.0"	"9.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"182"	"Speech Synthesis"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"183"	"Spoken Language Understanding"	"5.0"	"0.0"	"0.0"	"21.0"	"26.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"184"	"Stance Detection"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2012.0"	""	"inf"	""	"1.0"	"0"	"1"	"0"
"185"	"Stochastic Optimization"	"1.0"	"314.0"	"9.0"	"0.0"	"315.0"	"2009.0"	"inf"	"0.1111111111111111"	"1.0"	"0.1"	"0"	"0"	"1"
"186"	"Stock Market Prediction"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"187"	"Super-Resolution"	"8.0"	"8.0"	"2.0"	"2.0"	"18.0"	"2009.0"	"4.0"	"4.0"	"0.8"	"0.8"	"1"	"0"	"0"
"188"	"Table-to-Text Generation"	"3.0"	"2.0"	"2.0"	"0.0"	"5.0"	"2016.0"	"inf"	"1.5"	"1.0"	"0.6"	"0"	"1"	"0"
"189"	"Temporal Action Localization"	"15.0"	"156.0"	"7.0"	"633.0"	"804.0"	"2008.0"	"0.24644549763033174"	"2.142857142857143"	"0.19771863117870722"	"0.6818181818181818"	"1"	"0"	"1"
"190"	"Temporal Localization"	"2.0"	"0.0"	"0.0"	"7.0"	"9.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"191"	"Text Classification"	"11.0"	"201.0"	"5.0"	"82.0"	"294.0"	"2003.0"	"2.451219512195122"	"2.2"	"0.7102473498233216"	"0.6875"	"0"	"1"	"0"
"192"	"Text Generation"	"14.0"	"33.0"	"9.0"	"49.0"	"96.0"	"2009.0"	"0.673469387755102"	"1.5555555555555556"	"0.4024390243902439"	"0.6086956521739131"	"1"	"1"	"0"
"193"	"Text Style Transfer"	"1.0"	"1.0"	"1.0"	"0.0"	"2.0"	"2017.0"	"inf"	"1.0"	"1.0"	"0.5"	"0"	"1"	"0"
"194"	"Text Summarization"	"18.0"	"13.0"	"2.0"	"78.0"	"109.0"	"2012.0"	"0.16666666666666666"	"9.0"	"0.14285714285714285"	"0.9"	"0"	"1"	"0"
"195"	"Text-to-Image Generation"	"1.0"	"144.0"	"12.0"	"0.0"	"145.0"	"2012.0"	"inf"	"0.08333333333333333"	"1.0"	"0.07692307692307693"	"1"	"1"	"0"
"196"	"Time Series Forecasting"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"197"	"Traffic Accident Detection"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2019.0"	""	"inf"	""	"1.0"	"1"	"0"	"0"
"198"	"Traffic Prediction"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2014.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"199"	"Trajectory Prediction"	"1.0"	"54.0"	"2.0"	"10.0"	"65.0"	"2012.0"	"5.4"	"0.5"	"0.84375"	"0.3333333333333333"	"1"	"0"	"0"
"200"	"Transfer Learning"	"1.0"	"0.0"	"0.0"	"34.0"	"35.0"	"2007.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"1"
"201"	"Triple Classification"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"202"	"Unsupervised Anomaly Detection"	"1.0"	"53.0"	"5.0"	"0.0"	"54.0"	"2014.0"	"inf"	"0.2"	"1.0"	"0.16666666666666666"	"1"	"0"	"1"
"203"	"Unsupervised Image-To-Image Translation"	"2.0"	"44.0"	"6.0"	"0.0"	"46.0"	"2014.0"	"inf"	"0.3333333333333333"	"1.0"	"0.25"	"1"	"0"	"0"
"204"	"Unsupervised Representation Learning"	"1.0"	"1.0"	"1.0"	"0.0"	"2.0"	"2012.0"	"inf"	"1.0"	"1.0"	"0.5"	"0"	"0"	"1"
"205"	"Video Captioning"	"8.0"	"80.0"	"3.0"	"6.0"	"94.0"	"2012.0"	"13.333333333333334"	"2.6666666666666665"	"0.9302325581395349"	"0.7272727272727273"	"1"	"0"	"0"
"206"	"Video Classification"	"19.0"	"101.0"	"14.0"	"353.0"	"473.0"	"2012.0"	"0.28611898016997167"	"1.3571428571428572"	"0.22246696035242292"	"0.5757575757575758"	"1"	"0"	"0"
"207"	"Video Frame Interpolation"	"1.0"	"62.0"	"5.0"	"0.0"	"63.0"	"2017.0"	"inf"	"0.2"	"1.0"	"0.16666666666666666"	"1"	"0"	"0"
"208"	"Video Object Segmentation"	"5.0"	"33.0"	"10.0"	"343.0"	"381.0"	"2013.0"	"0.09620991253644315"	"0.5"	"0.08776595744680851"	"0.3333333333333333"	"1"	"0"	"0"
"209"	"Video Prediction"	"3.0"	"128.0"	"12.0"	"8.0"	"139.0"	"2015.0"	"16.0"	"0.25"	"0.9411764705882353"	"0.2"	"1"	"0"	"0"
"210"	"Video Retrieval"	"8.0"	"203.0"	"18.0"	"40.0"	"251.0"	"2013.0"	"5.075"	"0.4444444444444444"	"0.8353909465020576"	"0.3076923076923077"	"1"	"0"	"0"
"211"	"Video Semantic Segmentation"	"2.0"	"47.0"	"1.0"	"22.0"	"71.0"	"2009.0"	"2.1363636363636362"	"2.0"	"0.6811594202898551"	"0.6666666666666666"	"1"	"0"	"0"
"212"	"Video Summarization"	"2.0"	"36.0"	"13.0"	"3.0"	"41.0"	"2012.0"	"12.0"	"0.15384615384615385"	"0.9230769230769231"	"0.13333333333333333"	"1"	"0"	"0"
"213"	"Video Understanding"	"10.0"	"515.0"	"24.0"	"16.0"	"541.0"	"2013.0"	"32.1875"	"0.4166666666666667"	"0.9698681732580038"	"0.29411764705882354"	"1"	"0"	"0"
"214"	"Visual Odometry"	"4.0"	"6.0"	"1.0"	"76.0"	"86.0"	"2012.0"	"0.07894736842105263"	"4.0"	"0.07317073170731707"	"0.8"	"0"	"0"	"0"
"215"	"Visual Question Answering"	"34.0"	"445.0"	"8.0"	"1044.0"	"1523.0"	"2015.0"	"0.42624521072796934"	"4.25"	"0.2988582941571524"	"0.8095238095238095"	"1"	"1"	"0"
"216"	"Visual Reasoning"	"10.0"	"6.0"	"1.0"	"34.0"	"50.0"	"2015.0"	"0.17647058823529413"	"10.0"	"0.15"	"0.9090909090909091"	"1"	"0"	"0"
"217"	"Visual Speech Recognition"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2012.0"	""	"inf"	""	"1.0"	"1"	"0"	"0"
"218"	"Visual Tracking"	"1.0"	"309.0"	"5.0"	"2.0"	"312.0"	"2010.0"	"154.5"	"0.2"	"0.9935691318327974"	"0.16666666666666666"	"1"	"0"	"0"
"219"	"Word Embeddings"	"10.0"	"45.0"	"9.0"	"98.0"	"153.0"	"2011.0"	"0.45918367346938777"	"1.1111111111111112"	"0.3146853146853147"	"0.5263157894736842"	"0"	"0"	"1"
"220"	"Word Sense Disambiguation"	"5.0"	"9.0"	"1.0"	"48.0"	"62.0"	"2012.0"	"0.1875"	"5.0"	"0.15789473684210525"	"0.8333333333333334"	"0"	"1"	"0"
"221"	"Zero-Shot Learning"	"5.0"	"525.0"	"3.0"	"150.0"	"680.0"	"2009.0"	"3.5"	"1.6666666666666667"	"0.7777777777777778"	"0.625"	"1"	"0"	"1"
"222"	"indoor scene understanding"	"1.0"	"17.0"	"4.0"	"0.0"	"18.0"	"2012.0"	"inf"	"0.25"	"1.0"	"0.2"	"1"	"0"	"0"
"223"	"3D FACE MODELING"	"0.0"	"15.0"	"6.0"	"0.0"	"15.0"	"2014.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"224"	"3D Face Animation"	"0.0"	"2.0"	"2.0"	"0.0"	"2.0"	"2014.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"1"	"0"
"225"	"3D Medical Imaging Segmentation"	"0.0"	"3.0"	"2.0"	"0.0"	"3.0"	"2013.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"226"	"3D Multi-Person Pose Estimation"	"0.0"	"5.0"	"1.0"	"0.0"	"5.0"	"2014.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"227"	"3D Shape Generation"	"0.0"	"4.0"	"2.0"	"0.0"	"4.0"	"2016.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"228"	"3D Shape Reconstruction From A Single 2D Image"	"0.0"	"2.0"	"1.0"	"0.0"	"2.0"	"2018.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"229"	"Adversarial Attack"	"0.0"	"250.0"	"2.0"	"0.0"	"250.0"	"2015.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"230"	"Adversarial Defense"	"0.0"	"315.0"	"5.0"	"0.0"	"315.0"	"2015.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"0"	"0"
"231"	"Audio Generation"	"0.0"	"2.0"	"2.0"	"0.0"	"2.0"	"2016.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"0"	"0"
"232"	"Bayesian Inference"	"0.0"	"1.0"	"1.0"	"0.0"	"1.0"	"2003.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"0"	"1"
"233"	"Camera Localization"	"0.0"	"3.0"	"1.0"	"0.0"	"3.0"	"2015.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"234"	"Code Documentation Generation"	"0.0"	"2.0"	"1.0"	"0.0"	"2.0"	"2020.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"1"	"0"
"235"	"Community Detection"	"0.0"	"7.0"	"1.0"	"0.0"	"7.0"	"2009.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"0"	"0"
"236"	"Constituency Parsing"	"0.0"	"55.0"	"1.0"	"0.0"	"55.0"	"2004.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"1"	"0"
"237"	"Content-Based Image Retrieval"	"0.0"	"15.0"	"3.0"	"0.0"	"15.0"	"2012.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"238"	"Continual Learning"	"0.0"	"540.0"	"7.0"	"0.0"	"540.0"	"1994.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"1"
"239"	"Cross-Domain Few-Shot"	"0.0"	"50.0"	"7.0"	"0.0"	"50.0"	"2019.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"1"
"240"	"Dependency Parsing"	"0.0"	"148.0"	"1.0"	"0.0"	"148.0"	"2004.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"1"	"0"
"241"	"Document Text Classification"	"0.0"	"4.0"	"2.0"	"0.0"	"4.0"	"2019.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"1"	"0"
"242"	"Extractive Text Summarization"	"0.0"	"6.0"	"4.0"	"0.0"	"6.0"	"2012.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"1"	"0"
"243"	"Generalized Few-Shot Classification"	"0.0"	"3.0"	"1.0"	"0.0"	"3.0"	"2019.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"1"
"244"	"Generalized Few-Shot Learning"	"0.0"	"20.0"	"2.0"	"0.0"	"20.0"	"2017.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"0"	"1"
"245"	"Graph Clustering"	"0.0"	"34.0"	"3.0"	"0.0"	"34.0"	"2012.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"0"	"0"
"246"	"Graph-to-Sequence"	"0.0"	"3.0"	"1.0"	"0.0"	"3.0"	"2017.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"1"	"0"
"247"	"Hierarchical Reinforcement Learning"	"0.0"	"1.0"	"1.0"	"0.0"	"1.0"	"1999.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"0"	"1"
"248"	"Image Clustering"	"0.0"	"347.0"	"13.0"	"0.0"	"347.0"	"2009.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"249"	"Image Compression"	"0.0"	"86.0"	"6.0"	"0.0"	"86.0"	"2012.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"250"	"Image Inpainting"	"0.0"	"201.0"	"12.0"	"0.0"	"201.0"	"2010.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"251"	"Image Instance Retrieval"	"0.0"	"1.0"	"1.0"	"0.0"	"1.0"	"2015.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"252"	"Image Quality Assessment"	"0.0"	"4.0"	"1.0"	"0.0"	"4.0"	"2013.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"253"	"Image Retrieval with Multi-Modal Query"	"0.0"	"2.0"	"1.0"	"0.0"	"2.0"	"2014.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"0"	"0"
"254"	"Imputation"	"0.0"	"1.0"	"1.0"	"0.0"	"1.0"	"2010.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"255"	"Indoor Scene Reconstruction"	"0.0"	"2.0"	"1.0"	"0.0"	"2.0"	"2015.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"256"	"Intrusion Detection"	"0.0"	"1.0"	"1.0"	"0.0"	"1.0"	"2013.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"0"	"0"
"257"	"Multi-agent Reinforcement Learning"	"0.0"	"2.0"	"1.0"	"0.0"	"2.0"	"2009.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"0"	"1"
"258"	"Multimodal Deep Learning"	"0.0"	"3.0"	"1.0"	"0.0"	"3.0"	"2014.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"1"	"1"
"259"	"Open Information Extraction"	"0.0"	"5.0"	"1.0"	"0.0"	"5.0"	"2012.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"1"	"0"
"260"	"Small Object Detection"	"0.0"	"42.0"	"5.0"	"0.0"	"42.0"	"2015.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"261"	"Source Code Summarization"	"0.0"	"9.0"	"1.0"	"0.0"	"9.0"	"2016.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"1"	"0"
"262"	"Speaker Separation"	"0.0"	"4.0"	"1.0"	"0.0"	"4.0"	"2016.0"	"inf"	"0.0"	"1.0"	"0.0"	"0"	"0"	"0"
"263"	"Style Transfer"	"0.0"	"8.0"	"2.0"	"0.0"	"8.0"	"2015.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"264"	"Talking Face Generation"	"0.0"	"1.0"	"1.0"	"0.0"	"1.0"	"2018.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"265"	"Talking Head Generation"	"0.0"	"4.0"	"1.0"	"0.0"	"4.0"	"2018.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"266"	"Video Generation"	"0.0"	"99.0"	"12.0"	"0.0"	"99.0"	"2016.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"267"	"Video Segmentation"	"0.0"	"6.0"	"1.0"	"0.0"	"6.0"	"2013.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
"268"	"Visual Place Recognition"	"0.0"	"32.0"	"4.0"	"0.0"	"32.0"	"2013.0"	"inf"	"0.0"	"1.0"	"0.0"	"1"	"0"	"0"
