""	"task"	"year"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_imports"	"num_papers_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"pwc_size"	"CV"	"NLP"	"Methodology"
"345"	"Reading Comprehension"	"2021.0"	"1.0"	"24.0"	"9.0"	"118.0"	"143.0"	"2012.0"	"0.2033898305084746"	"0.1111111111111111"	"0.16901408450704225"	"0.1"	"37713"	"0"	"1"	"0"
"346"	"Real-Time Strategy Games"	"2017.0"	"2.0"	"1.0"	"0.0"	"0.0"	"3.0"	"2012.0"	"inf"	"inf"	"1.0"	"1.0"	"23430"	"0"	"0"	"0"
"347"	"Recommendation Systems"	"2015.0"	"1.0"	"0.0"	"0.0"	"2.0"	"3.0"	"2007.0"	"0.0"	"inf"	"0.0"	"1.0"	"12115"	"0"	"0"	"0"
"348"	"Recommendation Systems"	"2016.0"	"1.0"	"0.0"	"0.0"	"11.0"	"12.0"	"2007.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"0"	"0"	"0"
"349"	"Relation Classification"	"2018.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"36754"	"0"	"1"	"0"
"350"	"Relation Extraction"	"2017.0"	"1.0"	"1.0"	"0.0"	"1.0"	"3.0"	"2012.0"	"1.0"	"inf"	"0.5"	"1.0"	"23430"	"0"	"1"	"0"
"351"	"Relation Extraction"	"2018.0"	"2.0"	"3.0"	"0.0"	"4.0"	"9.0"	"2012.0"	"0.75"	"inf"	"0.42857142857142855"	"1.0"	"36754"	"0"	"1"	"0"
"352"	"Relation Extraction"	"2019.0"	"2.0"	"5.0"	"0.0"	"23.0"	"30.0"	"2012.0"	"0.21739130434782608"	"inf"	"0.17857142857142858"	"1.0"	"49025"	"0"	"1"	"0"
"353"	"Relation Extraction"	"2020.0"	"1.0"	"5.0"	"4.0"	"54.0"	"60.0"	"2012.0"	"0.09259259259259259"	"0.25"	"0.0847457627118644"	"0.2"	"63637"	"0"	"1"	"0"
"354"	"Relation Extraction"	"2021.0"	"1.0"	"5.0"	"0.0"	"31.0"	"37.0"	"2012.0"	"0.16129032258064516"	"inf"	"0.1388888888888889"	"1.0"	"37713"	"0"	"1"	"0"
"355"	"Saliency Detection"	"2013.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2010.0"	""	"inf"	""	"1.0"	"6822"	"1"	"0"	"0"
"356"	"Saliency Detection"	"2015.0"	"1.0"	"0.0"	"0.0"	"10.0"	"11.0"	"2010.0"	"0.0"	"inf"	"0.0"	"1.0"	"12115"	"1"	"0"	"0"
"357"	"Saliency Detection"	"2017.0"	"1.0"	"0.0"	"0.0"	"26.0"	"27.0"	"2010.0"	"0.0"	"inf"	"0.0"	"1.0"	"23430"	"1"	"0"	"0"
"358"	"Saliency Detection"	"2019.0"	"1.0"	"0.0"	"0.0"	"30.0"	"31.0"	"2010.0"	"0.0"	"inf"	"0.0"	"1.0"	"49025"	"1"	"0"	"0"
"359"	"Saliency Prediction"	"2015.0"	"2.0"	"0.0"	"0.0"	"3.0"	"5.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"12115"	"1"	"0"	"0"
"360"	"Saliency Prediction"	"2020.0"	"1.0"	"1.0"	"0.0"	"9.0"	"11.0"	"2013.0"	"0.1111111111111111"	"inf"	"0.1"	"1.0"	"63637"	"1"	"0"	"0"
"361"	"Scene Parsing"	"2016.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"1"	"0"	"0"
"362"	"Scene Text"	"2016.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"1"	"0"	"0"
"363"	"Scene Text"	"2020.0"	"1.0"	"7.0"	"1.0"	"0.0"	"8.0"	"2013.0"	"inf"	"1.0"	"1.0"	"0.5"	"63637"	"1"	"0"	"0"
"364"	"Scene Text Detection"	"2016.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"1"	"0"	"0"
"365"	"Scene Text Detection"	"2017.0"	"2.0"	"0.0"	"0.0"	"4.0"	"6.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"23430"	"1"	"0"	"0"
"366"	"Scene Text Detection"	"2021.0"	"1.0"	"0.0"	"0.0"	"2.0"	"3.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"37713"	"1"	"0"	"0"
"367"	"Scene Understanding"	"2015.0"	"4.0"	"0.0"	"0.0"	"7.0"	"11.0"	"2008.0"	"0.0"	"inf"	"0.0"	"1.0"	"12115"	"1"	"0"	"0"
"368"	"Scene Understanding"	"2016.0"	"1.0"	"0.0"	"0.0"	"7.0"	"8.0"	"2008.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"1"	"0"	"0"
"369"	"Scene Understanding"	"2017.0"	"1.0"	"0.0"	"0.0"	"20.0"	"21.0"	"2008.0"	"0.0"	"inf"	"0.0"	"1.0"	"23430"	"1"	"0"	"0"
"370"	"Scene Understanding"	"2018.0"	"1.0"	"1.0"	"0.0"	"22.0"	"24.0"	"2008.0"	"0.045454545454545456"	"inf"	"0.043478260869565216"	"1.0"	"36754"	"1"	"0"	"0"
"371"	"Scene Understanding"	"2020.0"	"2.0"	"1.0"	"0.0"	"45.0"	"48.0"	"2008.0"	"0.022222222222222223"	"inf"	"0.021739130434782608"	"1.0"	"63637"	"1"	"0"	"0"
"372"	"Scene Understanding"	"2021.0"	"2.0"	"0.0"	"0.0"	"29.0"	"31.0"	"2008.0"	"0.0"	"inf"	"0.0"	"1.0"	"37713"	"1"	"0"	"0"
"373"	"Semantic Parsing"	"1998.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"1998.0"	""	"inf"	""	"1.0"	"5"	"0"	"1"	"0"
"374"	"Semantic Parsing"	"2015.0"	"1.0"	"1.0"	"0.0"	"2.0"	"4.0"	"1998.0"	"0.5"	"inf"	"0.3333333333333333"	"1.0"	"12115"	"0"	"1"	"0"
"375"	"Semantic Parsing"	"2016.0"	"2.0"	"0.0"	"0.0"	"4.0"	"6.0"	"1998.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"0"	"1"	"0"
"376"	"Semantic Parsing"	"2017.0"	"1.0"	"0.0"	"0.0"	"7.0"	"8.0"	"1998.0"	"0.0"	"inf"	"0.0"	"1.0"	"23430"	"0"	"1"	"0"
"377"	"Semantic Parsing"	"2018.0"	"2.0"	"2.0"	"0.0"	"9.0"	"13.0"	"1998.0"	"0.2222222222222222"	"inf"	"0.18181818181818182"	"1.0"	"36754"	"0"	"1"	"0"
"378"	"Semantic Parsing"	"2019.0"	"1.0"	"6.0"	"0.0"	"15.0"	"22.0"	"1998.0"	"0.4"	"inf"	"0.2857142857142857"	"1.0"	"49025"	"0"	"1"	"0"
"379"	"Semantic Parsing"	"2020.0"	"1.0"	"12.0"	"2.0"	"21.0"	"34.0"	"1998.0"	"0.5714285714285714"	"0.5"	"0.36363636363636365"	"0.3333333333333333"	"63637"	"0"	"1"	"0"
"380"	"Semantic Role Labeling"	"2015.0"	"1.0"	"11.0"	"0.0"	"0.0"	"12.0"	"2011.0"	"inf"	"inf"	"1.0"	"1.0"	"12115"	"0"	"1"	"0"
"381"	"Semantic Role Labeling"	"2018.0"	"1.0"	"6.0"	"0.0"	"4.0"	"11.0"	"2011.0"	"1.5"	"inf"	"0.6"	"1.0"	"36754"	"0"	"1"	"0"
"382"	"Semantic Segmentation"	"2001.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2001.0"	""	"inf"	""	"1.0"	"6"	"1"	"0"	"0"
"383"	"Semantic Segmentation"	"2009.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2001.0"	""	"inf"	""	"1.0"	"254"	"1"	"0"	"0"
"384"	"Semantic Segmentation"	"2011.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2001.0"	""	"inf"	""	"1.0"	"359"	"1"	"0"	"0"
"385"	"Semantic Segmentation"	"2014.0"	"1.0"	"13.0"	"0.0"	"10.0"	"24.0"	"2001.0"	"1.3"	"inf"	"0.5652173913043478"	"1.0"	"9766"	"1"	"0"	"0"
"386"	"Semantic Segmentation"	"2016.0"	"5.0"	"119.0"	"0.0"	"43.0"	"167.0"	"2001.0"	"2.7674418604651163"	"inf"	"0.7345679012345679"	"1.0"	"17276"	"1"	"0"	"0"
"387"	"Semantic Segmentation"	"2017.0"	"8.0"	"174.0"	"0.0"	"100.0"	"282.0"	"2001.0"	"1.74"	"inf"	"0.635036496350365"	"1.0"	"23430"	"1"	"0"	"0"
"388"	"Semantic Segmentation"	"2018.0"	"4.0"	"303.0"	"0.0"	"193.0"	"500.0"	"2001.0"	"1.5699481865284974"	"inf"	"0.6108870967741935"	"1.0"	"36754"	"1"	"0"	"0"
"389"	"Semantic Segmentation"	"2019.0"	"7.0"	"506.0"	"0.0"	"312.0"	"825.0"	"2001.0"	"1.6217948717948718"	"inf"	"0.6185819070904646"	"1.0"	"49025"	"1"	"0"	"0"
"390"	"Semantic Segmentation"	"2020.0"	"5.0"	"605.0"	"32.0"	"389.0"	"999.0"	"2001.0"	"1.5552699228791773"	"0.15625"	"0.6086519114688129"	"0.13513513513513514"	"63637"	"1"	"0"	"0"
"391"	"Semantic Segmentation"	"2021.0"	"3.0"	"379.0"	"0.0"	"277.0"	"659.0"	"2001.0"	"1.3682310469314078"	"inf"	"0.5777439024390244"	"1.0"	"37713"	"1"	"0"	"0"
"392"	"Semantic Textual Similarity"	"2005.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"1995.0"	""	"inf"	""	"1.0"	"12"	"0"	"1"	"0"
"393"	"Semantic Textual Similarity"	"2014.0"	"1.0"	"6.0"	"0.0"	"1.0"	"8.0"	"1995.0"	"6.0"	"inf"	"0.8571428571428571"	"1.0"	"9766"	"0"	"1"	"0"
"394"	"Semantic Textual Similarity"	"2015.0"	"1.0"	"5.0"	"0.0"	"2.0"	"8.0"	"1995.0"	"2.5"	"inf"	"0.7142857142857143"	"1.0"	"12115"	"0"	"1"	"0"
"395"	"Semi-Supervised Video Object Segmentation"	"2018.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2014.0"	""	"inf"	""	"1.0"	"36754"	"1"	"0"	"0"
"396"	"Semi-Supervised Video Object Segmentation"	"2021.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2014.0"	""	"inf"	""	"1.0"	"37713"	"1"	"0"	"0"
"397"	"Sentence Embeddings"	"2019.0"	"1.0"	"2.0"	"0.0"	"0.0"	"3.0"	"2012.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"0"	"1"	"1"
"398"	"Sentence Summarization"	"2016.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	""	"inf"	""	"1.0"	"17276"	"0"	"1"	"0"
"399"	"Sentiment Analysis"	"2005.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2002.0"	""	"inf"	""	"1.0"	"12"	"0"	"1"	"0"
"400"	"Sentiment Analysis"	"2007.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2002.0"	""	"inf"	""	"1.0"	"91"	"0"	"1"	"0"
"401"	"Sentiment Analysis"	"2011.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2002.0"	""	"inf"	""	"1.0"	"359"	"0"	"1"	"0"
"402"	"Sentiment Analysis"	"2013.0"	"1.0"	"1.0"	"0.0"	"27.0"	"29.0"	"2002.0"	"0.037037037037037035"	"inf"	"0.03571428571428571"	"1.0"	"6822"	"0"	"1"	"0"
"403"	"Sentiment Analysis"	"2017.0"	"1.0"	"5.0"	"0.0"	"57.0"	"63.0"	"2002.0"	"0.08771929824561403"	"inf"	"0.08064516129032258"	"1.0"	"23430"	"0"	"1"	"0"
"404"	"Sentiment Analysis"	"2019.0"	"1.0"	"20.0"	"0.0"	"92.0"	"113.0"	"2002.0"	"0.21739130434782608"	"inf"	"0.17857142857142858"	"1.0"	"49025"	"0"	"1"	"0"
"405"	"Sentiment Analysis"	"2020.0"	"1.0"	"20.0"	"4.0"	"95.0"	"116.0"	"2002.0"	"0.21052631578947367"	"0.25"	"0.17391304347826086"	"0.2"	"63637"	"0"	"1"	"0"
"406"	"Slot Filling"	"2016.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"17276"	"0"	"1"	"0"
"407"	"Slot Filling"	"2020.0"	"1.0"	"2.0"	"0.0"	"3.0"	"6.0"	"2012.0"	"0.6666666666666666"	"inf"	"0.4"	"1.0"	"63637"	"0"	"1"	"0"
"408"	"Slot Filling"	"2021.0"	"1.0"	"0.0"	"0.0"	"2.0"	"3.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"37713"	"0"	"1"	"0"
"409"	"Speaker Verification"	"2018.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"36754"	"0"	"0"	"0"
"410"	"Speech Enhancement"	"2020.0"	"1.0"	"10.0"	"1.0"	"7.0"	"18.0"	"2012.0"	"1.4285714285714286"	"1.0"	"0.5882352941176471"	"0.5"	"63637"	"0"	"0"	"0"
"411"	"Speech Recognition"	"2015.0"	"1.0"	"6.0"	"0.0"	"1.0"	"8.0"	"2003.0"	"6.0"	"inf"	"0.8571428571428571"	"1.0"	"12115"	"0"	"0"	"0"
"412"	"Speech Recognition"	"2018.0"	"2.0"	"24.0"	"0.0"	"42.0"	"68.0"	"2003.0"	"0.5714285714285714"	"inf"	"0.36363636363636365"	"1.0"	"36754"	"0"	"0"	"0"
"413"	"Speech Recognition"	"2019.0"	"2.0"	"13.0"	"0.0"	"107.0"	"122.0"	"2003.0"	"0.12149532710280374"	"inf"	"0.10833333333333334"	"1.0"	"49025"	"0"	"0"	"0"
"414"	"Speech Recognition"	"2020.0"	"1.0"	"11.0"	"0.0"	"192.0"	"204.0"	"2003.0"	"0.057291666666666664"	"inf"	"0.054187192118226604"	"1.0"	"63637"	"0"	"0"	"0"
"415"	"Speech Recognition"	"2021.0"	"1.0"	"6.0"	"1.0"	"212.0"	"219.0"	"2003.0"	"0.02830188679245283"	"1.0"	"0.027522935779816515"	"0.5"	"37713"	"0"	"0"	"0"
"416"	"Spoken Language Understanding"	"2013.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"6822"	"0"	"1"	"0"
"417"	"Spoken Language Understanding"	"2019.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"49025"	"0"	"1"	"0"
"418"	"Spoken Language Understanding"	"2021.0"	"1.0"	"0.0"	"0.0"	"10.0"	"11.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"37713"	"0"	"1"	"0"
"419"	"Stochastic Optimization"	"2014.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	"9766"	"0"	"0"	"1"
"420"	"Super-Resolution"	"2016.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	"17276"	"1"	"0"	"0"
"421"	"Super-Resolution"	"2018.0"	"1.0"	"2.0"	"0.0"	"0.0"	"3.0"	"2009.0"	"inf"	"inf"	"1.0"	"1.0"	"36754"	"1"	"0"	"0"
"422"	"Super-Resolution"	"2020.0"	"1.0"	"2.0"	"2.0"	"0.0"	"3.0"	"2009.0"	"inf"	"0.5"	"1.0"	"0.3333333333333333"	"63637"	"1"	"0"	"0"
"423"	"Table-to-Text Generation"	"2016.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2016.0"	""	"inf"	""	"1.0"	"17276"	"0"	"1"	"0"
"424"	"Table-to-Text Generation"	"2018.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2016.0"	""	"inf"	""	"1.0"	"36754"	"0"	"1"	"0"
"425"	"Table-to-Text Generation"	"2020.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2016.0"	""	"inf"	""	"1.0"	"63637"	"0"	"1"	"0"
"427"	"Temporal Action Localization"	"2011.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2008.0"	""	"inf"	""	"1.0"	"359"	"1"	"0"	"1"
"428"	"Temporal Action Localization"	"2012.0"	"1.0"	"0.0"	"0.0"	"2.0"	"3.0"	"2008.0"	"0.0"	"inf"	"0.0"	"1.0"	"4735"	"1"	"0"	"1"
"429"	"Temporal Action Localization"	"2013.0"	"1.0"	"0.0"	"0.0"	"5.0"	"6.0"	"2008.0"	"0.0"	"inf"	"0.0"	"1.0"	"6822"	"1"	"0"	"1"
"430"	"Temporal Action Localization"	"2015.0"	"1.0"	"4.0"	"0.0"	"50.0"	"55.0"	"2008.0"	"0.08"	"inf"	"0.07407407407407407"	"1.0"	"12115"	"1"	"0"	"1"
"431"	"Temporal Action Localization"	"2016.0"	"1.0"	"13.0"	"0.0"	"58.0"	"72.0"	"2008.0"	"0.22413793103448276"	"inf"	"0.18309859154929578"	"1.0"	"17276"	"1"	"0"	"1"
"432"	"Temporal Action Localization"	"2018.0"	"1.0"	"45.0"	"0.0"	"84.0"	"130.0"	"2008.0"	"0.5357142857142857"	"inf"	"0.3488372093023256"	"1.0"	"36754"	"1"	"0"	"1"
"433"	"Temporal Action Localization"	"2020.0"	"1.0"	"30.0"	"2.0"	"138.0"	"169.0"	"2008.0"	"0.21739130434782608"	"0.5"	"0.17857142857142858"	"0.3333333333333333"	"63637"	"1"	"0"	"1"
"434"	"Text Classification"	"2004.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2003.0"	""	"inf"	""	"1.0"	"12"	"0"	"1"	"0"
"435"	"Text Classification"	"2015.0"	"1.0"	"7.0"	"0.0"	"1.0"	"9.0"	"2003.0"	"7.0"	"inf"	"0.875"	"1.0"	"12115"	"0"	"1"	"0"
"436"	"Text Classification"	"2017.0"	"1.0"	"17.0"	"0.0"	"5.0"	"23.0"	"2003.0"	"3.4"	"inf"	"0.7727272727272727"	"1.0"	"23430"	"0"	"1"	"0"
"437"	"Text Classification"	"2019.0"	"2.0"	"38.0"	"0.0"	"11.0"	"51.0"	"2003.0"	"3.4545454545454546"	"inf"	"0.7755102040816326"	"1.0"	"49025"	"0"	"1"	"0"
"438"	"Text Classification"	"2020.0"	"1.0"	"60.0"	"0.0"	"27.0"	"88.0"	"2003.0"	"2.2222222222222223"	"inf"	"0.6896551724137931"	"1.0"	"63637"	"0"	"1"	"0"
"439"	"Text Generation"	"2013.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	"6822"	"1"	"1"	"0"
"440"	"Text Generation"	"2017.0"	"2.0"	"1.0"	"0.0"	"0.0"	"3.0"	"2009.0"	"inf"	"inf"	"1.0"	"1.0"	"23430"	"1"	"1"	"0"
"441"	"Text Generation"	"2018.0"	"2.0"	"6.0"	"0.0"	"3.0"	"11.0"	"2009.0"	"2.0"	"inf"	"0.6666666666666666"	"1.0"	"36754"	"1"	"1"	"0"
"442"	"Text Generation"	"2019.0"	"2.0"	"10.0"	"0.0"	"6.0"	"18.0"	"2009.0"	"1.6666666666666667"	"inf"	"0.625"	"1.0"	"49025"	"1"	"1"	"0"
"443"	"Text Generation"	"2021.0"	"1.0"	"7.0"	"7.0"	"13.0"	"21.0"	"2009.0"	"0.5384615384615384"	"0.14285714285714285"	"0.35"	"0.125"	"37713"	"1"	"1"	"0"
"444"	"Text Style Transfer"	"2021.0"	"1.0"	"0.0"	"1.0"	"0.0"	"1.0"	"2017.0"	""	"1.0"	""	"0.5"	"37713"	"0"	"1"	"0"
"445"	"Text Summarization"	"2016.0"	"1.0"	"0.0"	"0.0"	"5.0"	"6.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"0"	"1"	"0"
"446"	"Text Summarization"	"2018.0"	"3.0"	"1.0"	"0.0"	"9.0"	"13.0"	"2012.0"	"0.1111111111111111"	"inf"	"0.1"	"1.0"	"36754"	"0"	"1"	"0"
"447"	"Text Summarization"	"2019.0"	"1.0"	"3.0"	"0.0"	"9.0"	"13.0"	"2012.0"	"0.3333333333333333"	"inf"	"0.25"	"1.0"	"49025"	"0"	"1"	"0"
"448"	"Text Summarization"	"2021.0"	"1.0"	"2.0"	"2.0"	"17.0"	"20.0"	"2012.0"	"0.11764705882352941"	"0.5"	"0.10526315789473684"	"0.3333333333333333"	"37713"	"0"	"1"	"0"
"449"	"Text-to-Image Generation"	"2020.0"	"1.0"	"32.0"	"0.0"	"0.0"	"33.0"	"2012.0"	"inf"	"inf"	"1.0"	"1.0"	"63637"	"1"	"1"	"0"
"450"	"Transfer Learning"	"2017.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2007.0"	""	"inf"	""	"1.0"	"23430"	"0"	"0"	"1"
"451"	"Unsupervised Anomaly Detection"	"2019.0"	"1.0"	"15.0"	"0.0"	"0.0"	"16.0"	"2014.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"1"
"452"	"Unsupervised Image-To-Image Translation"	"2019.0"	"1.0"	"1.0"	"0.0"	"0.0"	"2.0"	"2014.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"0"
"453"	"Video Captioning"	"2018.0"	"1.0"	"11.0"	"0.0"	"0.0"	"12.0"	"2012.0"	"inf"	"inf"	"1.0"	"1.0"	"36754"	"1"	"0"	"0"
"454"	"Video Captioning"	"2019.0"	"2.0"	"21.0"	"0.0"	"1.0"	"24.0"	"2012.0"	"21.0"	"inf"	"0.9545454545454546"	"1.0"	"49025"	"1"	"0"	"0"
"455"	"Video Captioning"	"2020.0"	"2.0"	"21.0"	"0.0"	"1.0"	"24.0"	"2012.0"	"21.0"	"inf"	"0.9545454545454546"	"1.0"	"63637"	"1"	"0"	"0"
"456"	"Video Captioning"	"2021.0"	"1.0"	"11.0"	"4.0"	"4.0"	"16.0"	"2012.0"	"2.75"	"0.25"	"0.7333333333333333"	"0.2"	"37713"	"1"	"0"	"0"
"458"	"Video Classification"	"2012.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"4735"	"1"	"0"	"0"
"459"	"Video Classification"	"2015.0"	"1.0"	"0.0"	"0.0"	"19.0"	"20.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"12115"	"1"	"0"	"0"
"460"	"Video Classification"	"2016.0"	"2.0"	"5.0"	"0.0"	"19.0"	"26.0"	"2012.0"	"0.2631578947368421"	"inf"	"0.20833333333333334"	"1.0"	"17276"	"1"	"0"	"0"
"461"	"Video Classification"	"2017.0"	"2.0"	"8.0"	"0.0"	"35.0"	"45.0"	"2012.0"	"0.22857142857142856"	"inf"	"0.18604651162790697"	"1.0"	"23430"	"1"	"0"	"0"
"462"	"Video Classification"	"2018.0"	"1.0"	"11.0"	"0.0"	"48.0"	"60.0"	"2012.0"	"0.22916666666666666"	"inf"	"0.1864406779661017"	"1.0"	"36754"	"1"	"0"	"0"
"463"	"Video Frame Interpolation"	"2021.0"	"1.0"	"10.0"	"6.0"	"0.0"	"11.0"	"2017.0"	"inf"	"0.16666666666666666"	"1.0"	"0.14285714285714285"	"37713"	"1"	"0"	"0"
"464"	"Video Object Segmentation"	"2016.0"	"2.0"	"0.0"	"0.0"	"8.0"	"10.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"1"	"0"	"0"
"465"	"Video Object Segmentation"	"2017.0"	"1.0"	"2.0"	"0.0"	"34.0"	"37.0"	"2013.0"	"0.058823529411764705"	"inf"	"0.05555555555555555"	"1.0"	"23430"	"1"	"0"	"0"
"466"	"Video Object Segmentation"	"2021.0"	"1.0"	"6.0"	"8.0"	"47.0"	"54.0"	"2013.0"	"0.1276595744680851"	"0.125"	"0.11320754716981132"	"0.1111111111111111"	"37713"	"1"	"0"	"0"
"467"	"Video Prediction"	"2016.0"	"1.0"	"1.0"	"0.0"	"1.0"	"3.0"	"2015.0"	"1.0"	"inf"	"0.5"	"1.0"	"17276"	"1"	"0"	"0"
"468"	"Video Prediction"	"2017.0"	"2.0"	"20.0"	"0.0"	"1.0"	"23.0"	"2015.0"	"20.0"	"inf"	"0.9523809523809523"	"1.0"	"23430"	"1"	"0"	"0"
"469"	"Video Retrieval"	"2019.0"	"1.0"	"32.0"	"0.0"	"3.0"	"36.0"	"2013.0"	"10.666666666666666"	"inf"	"0.9142857142857143"	"1.0"	"49025"	"1"	"0"	"0"
"470"	"Video Retrieval"	"2020.0"	"2.0"	"76.0"	"0.0"	"15.0"	"93.0"	"2013.0"	"5.066666666666666"	"inf"	"0.8351648351648352"	"1.0"	"63637"	"1"	"0"	"0"
"471"	"Video Retrieval"	"2021.0"	"1.0"	"70.0"	"15.0"	"21.0"	"92.0"	"2013.0"	"3.3333333333333335"	"0.06666666666666667"	"0.7692307692307693"	"0.0625"	"37713"	"1"	"0"	"0"
"472"	"Video Semantic Segmentation"	"2009.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	"254"	"1"	"0"	"0"
"473"	"Video Understanding"	"2016.0"	"1.0"	"16.0"	"0.0"	"1.0"	"18.0"	"2013.0"	"16.0"	"inf"	"0.9411764705882353"	"1.0"	"17276"	"1"	"0"	"0"
"474"	"Video Understanding"	"2018.0"	"1.0"	"78.0"	"1.0"	"2.0"	"81.0"	"2013.0"	"39.0"	"1.0"	"0.975"	"0.5"	"36754"	"1"	"0"	"0"
"475"	"Video Understanding"	"2020.0"	"1.0"	"118.0"	"0.0"	"6.0"	"125.0"	"2013.0"	"19.666666666666668"	"inf"	"0.9516129032258065"	"1.0"	"63637"	"1"	"0"	"0"
"476"	"Visual Odometry"	"2012.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"4735"	"0"	"0"	"0"
"477"	"Visual Odometry"	"2016.0"	"1.0"	"0.0"	"0.0"	"2.0"	"3.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"0"	"0"	"0"
"478"	"Visual Question Answering"	"2015.0"	"1.0"	"39.0"	"0.0"	"22.0"	"62.0"	"2015.0"	"1.7727272727272727"	"inf"	"0.639344262295082"	"1.0"	"12115"	"1"	"1"	"0"
"479"	"Visual Question Answering"	"2016.0"	"6.0"	"58.0"	"1.0"	"69.0"	"133.0"	"2015.0"	"0.8405797101449275"	"6.0"	"0.4566929133858268"	"0.8571428571428571"	"17276"	"1"	"1"	"0"
"480"	"Visual Question Answering"	"2017.0"	"5.0"	"49.0"	"2.0"	"119.0"	"173.0"	"2015.0"	"0.4117647058823529"	"2.5"	"0.2916666666666667"	"0.7142857142857143"	"23430"	"1"	"1"	"0"
"481"	"Visual Question Answering"	"2018.0"	"2.0"	"52.0"	"5.0"	"152.0"	"206.0"	"2015.0"	"0.34210526315789475"	"0.4"	"0.2549019607843137"	"0.2857142857142857"	"36754"	"1"	"1"	"0"
"482"	"Visual Question Answering"	"2019.0"	"2.0"	"74.0"	"6.0"	"222.0"	"298.0"	"2015.0"	"0.3333333333333333"	"0.3333333333333333"	"0.25"	"0.25"	"49025"	"1"	"1"	"0"
