""	"task"	"categories"	"parents"	"children"	"siblings"
"296"	"Person Identification"	"['Computer Vision']"	"[]"	"[]"	"[]"
"297"	"Person Recognition"	"['Computer Vision']"	"[]"	"[]"	"[]"
"298"	"Transform A Video Into A Comics"	"['Computer Vision']"	"[]"	"[]"	"[]"
"299"	"3D Reconstruction"	"['Computer Vision']"	"['3D']"	"['3D Room Layouts From A Single RGB Panorama']"	"['3D Object Detection From Monocular Images', '3D Plane Detection', '3D Face Reconstruction', '3D Object Classification', 'Underwater 3D Scene Reconstruction', '3D Object Retrieval', 'Face Reenactment', 'Generating 3D Point Clouds', '3D Pose Estimation', 'Neural Rendering', '3D Shape Generation', 'Face Verification', '3D Shape Representation', '3D Reconstruction', '3D Point Cloud Matching', '3D Feature Matching', '3D Scene Reconstruction', '3D Depth Estimation', '3D FACE MODELING', '3D Surface Generation', '3D Volumetric Reconstruction', 'Video Reconstruction', 'Classify 3D Point Clouds', '3D Shape Classification', '3D Shape Reconstruction', 'Multi-View 3D Shape Retrieval', '3D Shape Recognition', '3D Geometry Perception', 'Point Set Upsampling']"
"300"	"3D Room Layouts From A Single RGB Panorama"	"[]"	"['3D Reconstruction', 'Scene Understanding']"	"[]"	"['3D Room Layouts From A Single RGB Panorama', 'Outdoor Light Source Estimation']"
"301"	"Open Set Learning"	"['Miscellaneous']"	"[]"	"[]"	"[]"
"302"	"Music Source Separation"	"['Music']"	"[]"	"[]"	"[]"
"303"	"Detection Of Instrumentals Musical Tracks"	"['Music']"	"[]"	"[]"	"[]"
"304"	"Recognizing Seven Different Dastgahs Of Iranian Classical Music"	"['Music']"	"[]"	"[]"	"[]"
"305"	"Video"	"['Graphs', 'Computer Vision']"	"[]"	"['Object Tracking', 'Action Classification', 'Video Object Segmentation', 'Video Prediction', 'Video Classification', 'Video Understanding', 'Video Generation', 'Video Retrieval', 'Video Recognition', 'Video Super-Resolution', 'Video Frame Interpolation', 'Video Compression', 'Motion Compensation', 'Video Summarization', 'Video Description', 'Video Denoising', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compressive Sensing', 'Action Spotting', 'Activity Recognition In Videos', 'Video Background Subtraction', 'Video Similarity', 'Video Synchronization', 'Localization In Video Forgery', 'Video Deinterlacing', 'Video Story QA', 'Object Discovery In Videos', 'Deception Detection In Videos', 'Natural Language Moment Retrieval', 'Dynamic Region Segmentation', 'Video Interlacing']"	"[]"
"306"	"Object Tracking"	"['Computer Vision']"	"['Video']"	"['Visual Object Tracking', 'Multi-Object Tracking', 'Multiple Object Tracking', 'Online Multi-Object Tracking', 'Video Object Tracking', 'Thermal Infrared Object Tracking']"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"307"	"Action Classification"	"['Computer Vision']"	"['Video']"	"['Skeleton Based Action Recognition']"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"308"	"Video Object Segmentation"	"['Computer Code', 'Computer Vision']"	"['Video']"	"['Semi-Supervised Video Object Segmentation', 'Unsupervised Video Object Segmentation', 'Video Salient Object Detection', 'Interactive Video Object Segmentation', 'Zero-Shot Video Object Segmentation']"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"309"	"Video Prediction"	"['Time Series', 'Computer Vision']"	"['Video']"	"['Predict Future Video Frames', 'Earth Surface Forecasting']"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"310"	"Video Classification"	"['Computer Vision']"	"['Video']"	"['Action Recognition']"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"311"	"Video Generation"	"['Computer Vision']"	"['Video']"	"['Video Generation from a Single Image']"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"312"	"Video Retrieval"	"['Computer Vision']"	"['Video']"	"['Video-Text Retrieval', 'Replay Grounding']"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"313"	"Video Recognition"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"314"	"Video Frame Interpolation"	"['Computer Vision']"	"['Video']"	"['eXtreme-Video-Frame-Interpolation']"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"315"	"Video Compression"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"316"	"Motion Compensation"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"317"	"Video Summarization"	"['Computer Vision']"	"['Video']"	"['Unsupervised Video Summarization', 'Supervised Video Summarization']"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"318"	"Video Description"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"319"	"Video Denoising"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"320"	"Anomaly Detection In Surveillance Videos"	"[]"	"['Video', 'Anomaly Detection']"	"[]"	"['Video Synchronization', 'Action Classification', 'Contextual Anomaly Detection', 'Video Summarization', 'Video Generation', 'Abnormal Event Detection In Video', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Group Anomaly Detection', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Unsupervised Anomaly Detection In Sound', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Self-Supervised Anomaly Detection', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Unsupervised Anomaly Detection', 'Video Compression']"
"321"	"Video-to-Video Synthesis"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"322"	"Video Compressive Sensing"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"323"	"Action Spotting"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"324"	"Activity Recognition In Videos"	"['Computer Vision']"	"['Video', 'Temporal Action Localization']"	"['Activity Prediction']"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Weakly Supervised Action Localization', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Weakly-supervised Temporal Action Localization', 'Action Recognition', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Temporal Action Proposal Generation', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"325"	"Video Background Subtraction"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"326"	"Video Similarity"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"327"	"Video Synchronization"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"328"	"Localization In Video Forgery"	"[]"	"['Video', 'Forgery']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"329"	"Video Deinterlacing"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"330"	"Video Story QA"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"331"	"Object Discovery In Videos"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"332"	"Deception Detection In Videos"	"[]"	"['Video', 'Deception Detection']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"333"	"Natural Language Moment Retrieval"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"334"	"Dynamic Region Segmentation"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"335"	"Video Interlacing"	"[]"	"['Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Object Tracking', 'Video Recognition', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression']"
"336"	"Temporal Action Localization"	"['Computer Vision']"	"['Zero-Shot Learning', 'Action Localization']"	"['Action Recognition', 'Weakly Supervised Action Localization', 'Weakly-supervised Temporal Action Localization', 'Temporal Action Proposal Generation', 'Activity Recognition In Videos']"	"['Compositional Zero-Shot Learning', 'Spatio-Temporal Action Localization', 'Action Segmentation', 'Temporal Action Localization', 'Multi-label zero-shot learning', 'Generalized Zero-Shot Learning']"
"337"	"Action Recognition"	"['Computer Vision']"	"['Temporal Action Localization', 'Activity Recognition', 'Video Classification']"	"['Self-Supervised Action Recognition', '3D Action Recognition', 'Fine-grained Action Recognition', 'Weakly-Supervised Action Recognition', 'Action Recognition In Still Images', 'Action Triplet Recognition']"	"['Temporal Action Proposal Generation', 'Human action generation', 'Weakly-supervised Temporal Action Localization', 'Action Recognition', 'Egocentric Activity Recognition', 'Group Activity Recognition', 'Recognizing And Localizing Human Actions', 'Concurrent Activity Recognition', 'Weakly Supervised Action Localization', 'Multimodal Activity Recognition', 'Activity Recognition In Videos', 'Cross-Domain Activity Recognition']"
