""	"task"	"year"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_homegrown"	"num_dataset_imports"	"num_papers_growing"	"num_converted_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"conversion_pct"	"pwc_size"	"CV"	"NLP"	"Methodology"
"973"	"Action Detection"	"2021.0"	"0.0"	"16.0"	"0.0"	"0.0"	"24.0"	"1.0"	"40.0"	"2012.0"	"0.6666666666666666"	""	"0.4"	""	"0.041666666666666664"	"37713"	"1"	"0"	"0"
"974"	"Action Generation"	"2018.0"	"0.0"	"3.0"	"0.0"	"1.0"	"0.0"	"0.0"	"3.0"	"2017.0"	"inf"	"0.0"	"1.0"	"0.0"	""	"36748"	"1"	"1"	"0"
"975"	"Action Generation"	"2019.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2017.0"	"inf"	""	"1.0"	""	""	"49025"	"1"	"1"	"0"
"976"	"Action Recognition"	"2019.0"	"0.0"	"92.0"	"0.0"	"0.0"	"103.0"	"0.0"	"195.0"	"2008.0"	"0.8932038834951457"	""	"0.4717948717948718"	""	"0.0"	"49025"	"1"	"0"	"0"
"977"	"Action Recognition In Still Images"	"2019.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2011.0"	"inf"	""	"1.0"	""	""	"49025"	"1"	"0"	"0"
"978"	"Action Recognition In Videos"	"2014.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2013.0"	"inf"	""	"1.0"	""	""	"9769"	"0"	"0"	"0"
"979"	"Action Recognition In Videos"	"2015.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2013.0"	"inf"	""	"1.0"	""	""	"12124"	"0"	"0"	"0"
"980"	"Action Recognition In Videos"	"2016.0"	"0.0"	"6.0"	"0.0"	"0.0"	"0.0"	"0.0"	"6.0"	"2013.0"	"inf"	""	"1.0"	""	""	"17279"	"0"	"0"	"0"
"981"	"Action Recognition In Videos"	"2017.0"	"0.0"	"5.0"	"0.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2013.0"	"inf"	""	"1.0"	""	""	"23433"	"0"	"0"	"0"
"982"	"Action Recognition In Videos"	"2018.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2013.0"	"inf"	""	"1.0"	""	""	"36748"	"0"	"0"	"0"
"983"	"Action Recognition In Videos"	"2019.0"	"0.0"	"15.0"	"0.0"	"0.0"	"0.0"	"0.0"	"15.0"	"2013.0"	"inf"	""	"1.0"	""	""	"49025"	"0"	"0"	"0"
"984"	"Action Recognition In Videos"	"2020.0"	"0.0"	"5.0"	"0.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2013.0"	"inf"	""	"1.0"	""	""	"63637"	"0"	"0"	"0"
"985"	"Action Segmentation"	"2016.0"	"0.0"	"4.0"	"0.0"	"0.0"	"1.0"	"1.0"	"5.0"	"2014.0"	"4.0"	""	"0.8"	""	"1.0"	"17279"	"1"	"0"	"0"
"986"	"Action Segmentation"	"2017.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2014.0"	"inf"	""	"1.0"	""	""	"23433"	"1"	"0"	"0"
"987"	"Action Segmentation"	"2018.0"	"0.0"	"5.0"	"0.0"	"4.0"	"0.0"	"0.0"	"5.0"	"2014.0"	"inf"	"0.0"	"1.0"	"0.0"	""	"36748"	"1"	"0"	"0"
"988"	"Action Segmentation"	"2019.0"	"0.0"	"13.0"	"0.0"	"0.0"	"0.0"	"0.0"	"13.0"	"2014.0"	"inf"	""	"1.0"	""	""	"49025"	"1"	"0"	"0"
"989"	"Action Segmentation"	"2020.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2014.0"	"inf"	""	"1.0"	""	""	"63637"	"1"	"0"	"0"
"990"	"Action Segmentation"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2014.0"	"inf"	""	"1.0"	""	""	"37713"	"1"	"0"	"0"
"991"	"Action Spotting"	"2017.0"	"0.0"	"8.0"	"0.0"	"0.0"	"0.0"	"0.0"	"8.0"	"2014.0"	"inf"	""	"1.0"	""	""	"23433"	"1"	"0"	"0"
"992"	"Action Spotting"	"2018.0"	"0.0"	"9.0"	"0.0"	"3.0"	"1.0"	"0.0"	"10.0"	"2014.0"	"9.0"	"0.0"	"0.9"	"0.0"	"0.0"	"36748"	"1"	"0"	"0"
"993"	"Action Spotting"	"2019.0"	"0.0"	"4.0"	"0.0"	"0.0"	"2.0"	"0.0"	"6.0"	"2014.0"	"2.0"	""	"0.6666666666666666"	""	"0.0"	"49025"	"1"	"0"	"0"
"994"	"Action Spotting"	"2020.0"	"0.0"	"16.0"	"0.0"	"0.0"	"7.0"	"0.0"	"23.0"	"2014.0"	"2.2857142857142856"	""	"0.6956521739130435"	""	"0.0"	"63637"	"1"	"0"	"0"
"995"	"Action Spotting"	"2021.0"	"0.0"	"4.0"	"0.0"	"0.0"	"9.0"	"0.0"	"13.0"	"2014.0"	"0.4444444444444444"	""	"0.3076923076923077"	""	"0.0"	"37713"	"1"	"0"	"0"
"996"	"Action Understanding"	"2021.0"	"0.0"	"6.0"	"0.0"	"0.0"	"0.0"	"0.0"	"6.0"	"2014.0"	"inf"	""	"1.0"	""	""	"37713"	"1"	"0"	"0"
"997"	"Action Unit Detection"	"2018.0"	"0.0"	"1.0"	"0.0"	"7.0"	"0.0"	"0.0"	"1.0"	"2013.0"	"inf"	"0.0"	"1.0"	"0.0"	""	"36748"	"1"	"0"	"0"
"998"	"Action Unit Detection"	"2019.0"	"0.0"	"7.0"	"0.0"	"0.0"	"0.0"	"0.0"	"7.0"	"2013.0"	"inf"	""	"1.0"	""	""	"49025"	"1"	"0"	"0"
"999"	"Action Unit Detection"	"2020.0"	"0.0"	"8.0"	"0.0"	"0.0"	"0.0"	"0.0"	"8.0"	"2013.0"	"inf"	""	"1.0"	""	""	"63637"	"1"	"0"	"0"
"1000"	"Action Unit Detection"	"2021.0"	"0.0"	"8.0"	"0.0"	"0.0"	"0.0"	"0.0"	"8.0"	"2013.0"	"inf"	""	"1.0"	""	""	"37713"	"1"	"0"	"0"
"1001"	"Active Learning"	"2017.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"1994.0"	"inf"	""	"1.0"	""	""	"23433"	"1"	"1"	"1"
"1002"	"Active Learning"	"2018.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"1994.0"	"inf"	""	"1.0"	""	""	"36748"	"1"	"1"	"1"
"1003"	"Active Learning"	"2020.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"1994.0"	"inf"	""	"1.0"	""	""	"63637"	"1"	"1"	"1"
"1004"	"Active Object Detection"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2013.0"	"inf"	""	"1.0"	""	""	"37713"	"1"	"1"	"1"
"1005"	"Activeness Detection"	"2020.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2020.0"	"inf"	""	"1.0"	""	""	"63637"	"1"	"0"	"0"
"1006"	"Activity Recognition"	"2020.0"	"0.0"	"2.0"	"0.0"	"0.0"	"8.0"	"0.0"	"10.0"	"2007.0"	"0.25"	""	"0.2"	""	"0.0"	"63637"	"1"	"0"	"0"
"1007"	"Activity Recognition In Videos"	"2018.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"	"0.0"	"3.0"	"2015.0"	"inf"	""	"1.0"	""	""	"36748"	"1"	"0"	"0"
"1008"	"Activity Recognition In Videos"	"2019.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2015.0"	"inf"	""	"1.0"	""	""	"49025"	"1"	"0"	"0"
"1009"	"Activity Recognition In Videos"	"2020.0"	"0.0"	"5.0"	"0.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2015.0"	"inf"	""	"1.0"	""	""	"63637"	"1"	"0"	"0"
"1010"	"Adversarial Attack"	"2019.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	"inf"	""	"1.0"	""	""	"49025"	"1"	"0"	"0"
"1011"	"Adversarial Attack"	"2020.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2015.0"	"inf"	""	"1.0"	""	""	"63637"	"1"	"0"	"0"
"1012"	"Adversarial Attack"	"2021.0"	"0.0"	"6.0"	"0.0"	"0.0"	"0.0"	"0.0"	"6.0"	"2015.0"	"inf"	""	"1.0"	""	""	"37713"	"1"	"0"	"0"
"1013"	"Adversarial Defense"	"2015.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"	"0.0"	"3.0"	"2015.0"	"inf"	""	"1.0"	""	""	"12124"	"0"	"0"	"0"
"1014"	"Adversarial Defense"	"2016.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"	"0.0"	"3.0"	"2015.0"	"inf"	""	"1.0"	""	""	"17279"	"0"	"0"	"0"
"1015"	"Adversarial Defense"	"2017.0"	"0.0"	"9.0"	"0.0"	"6.0"	"0.0"	"0.0"	"9.0"	"2015.0"	"inf"	"0.0"	"1.0"	"0.0"	""	"23433"	"0"	"0"	"0"
"1016"	"Adversarial Defense"	"2018.0"	"0.0"	"27.0"	"0.0"	"1.0"	"0.0"	"0.0"	"27.0"	"2015.0"	"inf"	"0.0"	"1.0"	"0.0"	""	"36748"	"0"	"0"	"0"
"1017"	"Adversarial Defense"	"2019.0"	"0.0"	"60.0"	"0.0"	"0.0"	"0.0"	"0.0"	"60.0"	"2015.0"	"inf"	""	"1.0"	""	""	"49025"	"0"	"0"	"0"
"1018"	"Adversarial Defense"	"2020.0"	"0.0"	"42.0"	"0.0"	"0.0"	"0.0"	"0.0"	"42.0"	"2015.0"	"inf"	""	"1.0"	""	""	"63637"	"0"	"0"	"0"
"1019"	"Adversarial Defense"	"2021.0"	"0.0"	"30.0"	"0.0"	"0.0"	"0.0"	"0.0"	"30.0"	"2015.0"	"inf"	""	"1.0"	""	""	"37713"	"0"	"0"	"0"
"1020"	"Aesthetics Quality Assessment"	"2015.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2015.0"	"inf"	""	"1.0"	""	""	"12124"	"1"	"0"	"0"
"1021"	"Aesthetics Quality Assessment"	"2016.0"	"0.0"	"6.0"	"0.0"	"0.0"	"0.0"	"0.0"	"6.0"	"2015.0"	"inf"	""	"1.0"	""	""	"17279"	"1"	"0"	"0"
"1022"	"Aesthetics Quality Assessment"	"2017.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2015.0"	"inf"	""	"1.0"	""	""	"23433"	"1"	"0"	"0"
"1023"	"Aesthetics Quality Assessment"	"2018.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2015.0"	"inf"	""	"1.0"	""	""	"36748"	"1"	"0"	"0"
"1024"	"Aesthetics Quality Assessment"	"2019.0"	"0.0"	"2.0"	"0.0"	"0.0"	"1.0"	"0.0"	"3.0"	"2015.0"	"2.0"	""	"0.6666666666666666"	""	"0.0"	"49025"	"1"	"0"	"0"
"1025"	"Age And Gender Classification"	"2015.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2015.0"	"inf"	""	"1.0"	""	""	"12124"	"1"	"0"	"0"
"1026"	"Age And Gender Classification"	"2016.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	"inf"	""	"1.0"	""	""	"17279"	"1"	"0"	"0"
"1027"	"Age And Gender Classification"	"2017.0"	"0.0"	"2.0"	"0.0"	"3.0"	"0.0"	"0.0"	"2.0"	"2015.0"	"inf"	"0.0"	"1.0"	"0.0"	""	"23433"	"1"	"0"	"0"
"1028"	"Age And Gender Classification"	"2018.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"	"0.0"	"3.0"	"2015.0"	"inf"	""	"1.0"	""	""	"36748"	"1"	"0"	"0"
"1029"	"Age And Gender Classification"	"2019.0"	"0.0"	"7.0"	"0.0"	"0.0"	"0.0"	"0.0"	"7.0"	"2015.0"	"inf"	""	"1.0"	""	""	"49025"	"1"	"0"	"0"
"1030"	"Age And Gender Classification"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2015.0"	"inf"	""	"1.0"	""	""	"37713"	"1"	"0"	"0"
"1031"	"Age Estimation"	"2016.0"	"0.0"	"8.0"	"0.0"	"0.0"	"0.0"	"0.0"	"8.0"	"2013.0"	"inf"	""	"1.0"	""	""	"17279"	"1"	"0"	"0"
"1032"	"Age Estimation"	"2017.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2013.0"	"inf"	""	"1.0"	""	""	"23433"	"1"	"0"	"0"
"1033"	"Age Estimation"	"2018.0"	"0.0"	"3.0"	"0.0"	"8.0"	"1.0"	"0.0"	"4.0"	"2013.0"	"3.0"	"0.0"	"0.75"	"0.0"	"0.0"	"36748"	"1"	"0"	"0"
"1034"	"Age Estimation"	"2021.0"	"0.0"	"19.0"	"0.0"	"0.0"	"1.0"	"1.0"	"20.0"	"2013.0"	"19.0"	""	"0.95"	""	"1.0"	"37713"	"1"	"0"	"0"
"1035"	"Age-Invariant Face Recognition"	"2015.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2013.0"	"inf"	""	"1.0"	""	""	"12124"	"1"	"0"	"0"
"1036"	"Age-Invariant Face Recognition"	"2016.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2013.0"	"inf"	""	"1.0"	""	""	"17279"	"1"	"0"	"0"
"1037"	"Age-Invariant Face Recognition"	"2018.0"	"0.0"	"1.0"	"0.0"	"3.0"	"0.0"	"0.0"	"1.0"	"2013.0"	"inf"	"0.0"	"1.0"	"0.0"	""	"36748"	"1"	"0"	"0"
"1038"	"Age-Invariant Face Recognition"	"2019.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2013.0"	"inf"	""	"1.0"	""	""	"49025"	"1"	"0"	"0"
"1039"	"Animal Pose Estimation"	"2019.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2018.0"	"inf"	""	"1.0"	""	""	"49025"	"1"	"0"	"0"
"1040"	"Animal Pose Estimation"	"2020.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2018.0"	"inf"	""	"1.0"	""	""	"63637"	"1"	"0"	"0"
"1041"	"Animal Pose Estimation"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2018.0"	"inf"	""	"1.0"	""	""	"37713"	"1"	"0"	"0"
"1042"	"Annotated Code Search"	"2020.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2017.0"	"inf"	""	"1.0"	""	""	"63637"	"0"	"0"	"0"
"1043"	"Anomaly Detection"	"2014.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"	"0.0"	"3.0"	"2008.0"	"inf"	""	"1.0"	""	""	"9769"	"1"	"0"	"1"
"1044"	"Anomaly Detection"	"2016.0"	"0.0"	"6.0"	"0.0"	"0.0"	"3.0"	"2.0"	"9.0"	"2008.0"	"2.0"	""	"0.6666666666666666"	""	"0.6666666666666666"	"17279"	"1"	"0"	"1"
"1045"	"Anomaly Detection"	"2020.0"	"0.0"	"94.0"	"0.0"	"0.0"	"25.0"	"0.0"	"119.0"	"2008.0"	"3.76"	""	"0.7899159663865546"	""	"0.0"	"63637"	"1"	"0"	"1"
"1046"	"Answer Selection"	"2018.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	"inf"	""	"1.0"	""	""	"36748"	"0"	"1"	"0"
"1047"	"Answer Selection"	"2019.0"	"0.0"	"5.0"	"0.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2012.0"	"inf"	""	"1.0"	""	""	"49025"	"0"	"1"	"0"
"1048"	"Answer Selection"	"2020.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2012.0"	"inf"	""	"1.0"	""	""	"63637"	"0"	"1"	"0"
"1049"	"Answer Selection"	"2021.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	"inf"	""	"1.0"	""	""	"37713"	"0"	"1"	"0"
"1050"	"Argument Mining"	"2020.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2014.0"	"inf"	""	"1.0"	""	""	"63637"	"0"	"1"	"0"
"1051"	"Arousal Estimation"	"2019.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2019.0"	"inf"	""	"1.0"	""	""	"49025"	"0"	"0"	"0"
"1052"	"Arousal Estimation"	"2021.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2019.0"	"inf"	""	"1.0"	""	""	"37713"	"0"	"0"	"0"
"1053"	"Arrhythmia Detection"	"2018.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2005.0"	"inf"	""	"1.0"	""	""	"36748"	"0"	"0"	"1"
"1054"	"Aspect-oriented  Opinion Extraction"	"2019.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2019.0"	"inf"	""	"1.0"	""	""	"49025"	"0"	"0"	"0"
"1055"	"Aspect-oriented  Opinion Extraction"	"2020.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2019.0"	"inf"	""	"1.0"	""	""	"63637"	"0"	"0"	"0"
"1056"	"Aspect-oriented  Opinion Extraction"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2019.0"	"inf"	""	"1.0"	""	""	"37713"	"0"	"0"	"0"
"1057"	"Audio Classification"	"2020.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2009.0"	"inf"	""	"1.0"	""	""	"63637"	"0"	"0"	"0"
"1058"	"Audio Generation"	"2020.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2016.0"	"inf"	""	"1.0"	""	""	"63637"	"0"	"0"	"0"
"1059"	"Audio-Visual Active Speaker Detection"	"2019.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2019.0"	"inf"	""	"1.0"	""	""	"49025"	"0"	"0"	"0"
"1060"	"Audio-Visual Video Captioning"	"2018.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2018.0"	"inf"	""	"1.0"	""	""	"36748"	"1"	"0"	"0"
"1061"	"Automated Feature Engineering"	"2019.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2010.0"	"inf"	""	"1.0"	""	""	"49025"	"0"	"0"	"1"
"1062"	"Automated Theorem Proving"	"2020.0"	"0.0"	"2.0"	"0.0"	"0.0"	"1.0"	"0.0"	"3.0"	"2009.0"	"2.0"	""	"0.6666666666666666"	""	"0.0"	"63637"	"0"	"0"	"0"
"1063"	"Autonomous Driving"	"2018.0"	"0.0"	"10.0"	"0.0"	"5.0"	"13.0"	"13.0"	"23.0"	"2009.0"	"0.7692307692307693"	"0.0"	"0.43478260869565216"	"0.0"	"1.0"	"36748"	"1"	"0"	"0"
"1064"	"Autonomous Driving"	"2019.0"	"0.0"	"28.0"	"0.0"	"0.0"	"38.0"	"0.0"	"66.0"	"2009.0"	"0.7368421052631579"	""	"0.42424242424242425"	""	"0.0"	"49025"	"1"	"0"	"0"
"1065"	"Autonomous Driving"	"2021.0"	"0.0"	"36.0"	"0.0"	"0.0"	"55.0"	"4.0"	"91.0"	"2009.0"	"0.6545454545454545"	""	"0.3956043956043956"	""	"0.07272727272727272"	"37713"	"1"	"0"	"0"
"1066"	"Autonomous Navigation"	"2018.0"	"0.0"	"4.0"	"0.0"	"1.0"	"0.0"	"0.0"	"4.0"	"2013.0"	"inf"	"0.0"	"1.0"	"0.0"	""	"36748"	"1"	"0"	"0"
"1067"	"Autonomous Navigation"	"2019.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2013.0"	"inf"	""	"1.0"	""	""	"49025"	"1"	"0"	"0"
"1068"	"Autonomous Navigation"	"2020.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2013.0"	"inf"	""	"1.0"	""	""	"63637"	"1"	"0"	"0"
"1069"	"Autonomous Navigation"	"2021.0"	"0.0"	"14.0"	"0.0"	"0.0"	"0.0"	"0.0"	"14.0"	"2013.0"	"inf"	""	"1.0"	""	""	"37713"	"1"	"0"	"0"
"1070"	"Autonomous Vehicles"	"2019.0"	"0.0"	"1.0"	"0.0"	"0.0"	"33.0"	"0.0"	"34.0"	"2015.0"	"0.030303030303030304"	""	"0.029411764705882353"	""	"0.0"	"49025"	"1"	"0"	"0"
"1071"	"Auxiliary Learning"	"2019.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2013.0"	"inf"	""	"1.0"	""	""	"49025"	"0"	"0"	"1"
"1072"	"Bayesian Inference"	"2020.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2003.0"	"inf"	""	"1.0"	""	""	"63637"	"0"	"0"	"1"
"1073"	"Binarization"	"2014.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"	"0.0"	"3.0"	"2010.0"	"inf"	""	"1.0"	""	""	"9769"	"0"	"0"	"0"
"1074"	"Binarization"	"2016.0"	"0.0"	"6.0"	"0.0"	"0.0"	"0.0"	"0.0"	"6.0"	"2010.0"	"inf"	""	"1.0"	""	""	"17279"	"0"	"0"	"0"
"1075"	"Binarization"	"2017.0"	"0.0"	"3.0"	"0.0"	"3.0"	"0.0"	"0.0"	"3.0"	"2010.0"	"inf"	"0.0"	"1.0"	"0.0"	""	"23433"	"0"	"0"	"0"
"1076"	"Binarization"	"2018.0"	"0.0"	"12.0"	"0.0"	"1.0"	"0.0"	"0.0"	"12.0"	"2010.0"	"inf"	"0.0"	"1.0"	"0.0"	""	"36748"	"0"	"0"	"0"
"1077"	"Binarization"	"2019.0"	"0.0"	"21.0"	"0.0"	"0.0"	"0.0"	"0.0"	"21.0"	"2010.0"	"inf"	""	"1.0"	""	""	"49025"	"0"	"0"	"0"
"1078"	"Binarization"	"2020.0"	"0.0"	"21.0"	"0.0"	"0.0"	"0.0"	"0.0"	"21.0"	"2010.0"	"inf"	""	"1.0"	""	""	"63637"	"0"	"0"	"0"
"1079"	"Binarization"	"2021.0"	"0.0"	"9.0"	"0.0"	"0.0"	"0.0"	"0.0"	"9.0"	"2010.0"	"inf"	""	"1.0"	""	""	"37713"	"0"	"0"	"0"
"1080"	"Bird's-Eye View Semantic Segmentation"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2018.0"	"inf"	""	"1.0"	""	""	"37713"	"0"	"0"	"0"
"1081"	"Birds Eye View Object Detection"	"2018.0"	"0.0"	"4.0"	"0.0"	"2.0"	"0.0"	"0.0"	"4.0"	"2018.0"	"inf"	"0.0"	"1.0"	"0.0"	""	"36748"	"1"	"0"	"0"
"1082"	"Birds Eye View Object Detection"	"2020.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2018.0"	"inf"	""	"1.0"	""	""	"63637"	"1"	"0"	"0"
"1083"	"Birds Eye View Object Detection"	"2021.0"	"0.0"	"8.0"	"0.0"	"0.0"	"0.0"	"0.0"	"8.0"	"2018.0"	"inf"	""	"1.0"	""	""	"37713"	"1"	"0"	"0"
"1084"	"Blind Face Restoration"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2018.0"	"inf"	""	"1.0"	""	""	"37713"	"1"	"0"	"0"
"1085"	"Boundary Detection"	"2021.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2001.0"	"inf"	""	"1.0"	""	""	"37713"	"1"	"0"	"0"
"1086"	"Brain Tumor Segmentation"	"2019.0"	"0.0"	"5.0"	"0.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2013.0"	"inf"	""	"1.0"	""	""	"49025"	"1"	"0"	"0"
"1087"	"Brain Tumor Segmentation"	"2020.0"	"0.0"	"7.0"	"0.0"	"0.0"	"0.0"	"0.0"	"7.0"	"2013.0"	"inf"	""	"1.0"	""	""	"63637"	"1"	"0"	"0"
"1088"	"Camera Localization"	"2019.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2015.0"	"inf"	""	"1.0"	""	""	"49025"	"1"	"0"	"0"
"1089"	"Camera Localization"	"2020.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2015.0"	"inf"	""	"1.0"	""	""	"63637"	"1"	"0"	"0"
"1090"	"Camera Localization"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2015.0"	"inf"	""	"1.0"	""	""	"37713"	"1"	"0"	"0"
"1091"	"Camera Relocalization"	"2020.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2013.0"	"inf"	""	"1.0"	""	""	"63637"	"1"	"0"	"0"
"1092"	"Camouflaged Object Segmentation"	"2019.0"	"0.0"	"7.0"	"0.0"	"0.0"	"2.0"	"0.0"	"9.0"	"2019.0"	"3.5"	""	"0.7777777777777778"	""	"0.0"	"49025"	"1"	"0"	"0"
"1093"	"Camouflaged Object Segmentation"	"2020.0"	"0.0"	"5.0"	"0.0"	"0.0"	"3.0"	"0.0"	"8.0"	"2019.0"	"1.6666666666666667"	""	"0.625"	""	"0.0"	"63637"	"1"	"0"	"0"
"1094"	"Car Racing"	"2018.0"	"0.0"	"2.0"	"0.0"	"2.0"	"0.0"	"0.0"	"2.0"	"2010.0"	"inf"	"0.0"	"1.0"	"0.0"	""	"36748"	"1"	"0"	"0"
"1095"	"Car Racing"	"2019.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2010.0"	"inf"	""	"1.0"	""	""	"49025"	"1"	"0"	"0"
"1096"	"Car Racing"	"2020.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2010.0"	"inf"	""	"1.0"	""	""	"63637"	"1"	"0"	"0"
"1097"	"Cell Segmentation"	"2015.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	"inf"	""	"1.0"	""	""	"12124"	"1"	"0"	"0"
"1098"	"Cell Segmentation"	"2019.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	"inf"	""	"1.0"	""	""	"49025"	"1"	"0"	"0"
